identifier,major_group,group,sub_group,membran_prediction,seq_start,number_cysteines,data_source,species
1231Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1233Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1237Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1283Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1305Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_dendrophila_dendrophila
1307Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1311Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_dendrophila_dendrophila
1313Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_dendrophila_dendrophila
1315Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_dendrophila_dendrophila
1319Boiga_,Non-standard,Non-standard,,Secreted,,12,None,Boiga_dendrophila_dendrophila
1321Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_dendrophila_dendrophila
1323Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1325Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1327Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1329Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1383Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_dendrophila_dendrophila
1387Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1389Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1391Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1393Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_dendrophila
1399Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_dendrophila_dendrophila
1401Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_dendrophila_dendrophila
1223Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_gemmicincta
1225Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_gemmicincta
1227Boiga_,Plesiotypic,Plesiotypic,,Secreted,,10,None,Boiga_dendrophila_gemmicincta
1309Boiga_,Non-standard,Non-standard,,Secreted,,12,None,Boiga_dendrophila_gemmicincta
1317Boiga_,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11,None,Boiga_dendrophila_gemmicincta
