identifier,ec_numbers,localization,Gene3D
A5LHX3,other,"Cytoplasm, Nucleus",other
A5PKW4,,other,other
A5PLL7,other,Endoplasmic reticulum membrane,
A5X5Y0,,other,other
A5YKK6,,other,other
A5YM72,other,,other
A6BM72,,other,other
A6H8Y1,,Nucleus,
A6H8Z2,,,
A6NC98,,other,other
A6NCS4,,Nucleus,1.10.10.60
A6ND01,,other,
A6ND36,,other,other
A6NDB9,,other,
A6NDE4,,Nucleus,3.30.70.330
A6NDG6,3.1.3,,other
A6NDV4,,other,
A6NED2,,other,other
A6NEM1,,,
A6NFA1,other,Cell membrane,
A6NFQ2,,Cell membrane,other
A6NFX1,,Cell membrane,other
A6NFY7,,other,
A6NGG8,,other,
A6NGQ2,,"Cytoplasm, Nucleus",other
A6NGU5,3.4.19,Membrane,other
A6NHL2,3.6.5,other,other
A6NHR9,other,other,other
A6NHX0,,other,other
A6NI15,,Nucleus,other
A6NI61,,other,
A6NI73,,other,2.60.40.10
A6NIH7,,other,other
A6NIX2,,other,other
A6NJ46,,Nucleus,1.10.10.60
A6NJ78,2.1.1,other,other
A6NK06,other,Mitochondrion,other
A6NK58,2.3.1,Mitochondrion,
A6NK89,,other,
A6NKB5,,Membrane,
A6NMZ7,,other,other
A6NNB3,,Cell membrane,
A6NNM8,other,,other
A6NNN8,,other,
A6NNY8,3.4.19,other,other
A6NNZ2,,other,other
A6PVC2,other,other,other
A7E2V4,,other,
A7E2Y1,,Membrane,other
A7KAX9,,other,other
A7MCY6,,,
A7MD48,,Nucleus,
A7XYQ1,,,
A8CG34,,other,
A8K0Z3,,other,
A8K2U0,,Secreted,other
A8K4G0,,Cell membrane,2.60.40.10
A8K7I4,other,other,other
A8K8P3,,other,
A8K8V0,,Nucleus,"6.10.140.140, 3.30.160.60"
A8MPY1,,other,other
A8MQ03,,other,
A8MQ27,2.3.2,Cytoplasm,other
A8MT69,,other,other
A8MTA8,,other,
A8MTJ3,,Cytoplasm,other
A8MTJ6,,Nucleus,other
A8MTQ0,,Nucleus,1.10.10.60
A8MTZ0,,other,
A8MU46,,other,other
A8MUP2,2.1.1,Mitochondrion,other
A8MV65,,Nucleus,
A8MVW5,,other,2.60.40.10
A8MW92,,Nucleus,other
A8MW95,,Cytoplasm,other
A8MW99,,other,
A8MXD5,,other,other
A8MXV4,other,other,other
A8MYU2,,other,other
A8MZ59,,Nucleus,1.10.10.60
A8TX70,,other,other
A9QM74,,Nucleus,other
A9UHW6,,"Cytoplasm, Nucleus",other
A9YTQ3,,"Cytoplasm, Nucleus",other
B0I1T2,,other,other
B0YJ81,other,Endoplasmic reticulum membrane,
B1AK53,,other,other
B2RTY4,,other,other
B2RUY7,,other,other
B2RUZ4,,Cell membrane,
B2RXF5,,other,3.30.160.60
B2RXH2,other,Nucleus,other
B3KU38,,other,
B7U540,,Cell membrane,other
B7ZAQ6,,other,
C4AMC7,,other,
C9JE40,,"Cytoplasm, Nucleus",
C9JLW8,,other,
C9JR72,,Cytoplasm,other
C9JRZ8,other,other,other
D3W0D1,,Cell membrane,other
D6RGH6,,Nucleus,other
E0CX11,,other,
G2XKQ0,,Nucleus,
H0YL14,,other,
K7EJ46,,other,
K9M1U5,,other,other
M0R2J8,,other,other
O00115,other,other,
O00116,other,other,other
O00124,,Endoplasmic reticulum membrane,
O00139,,other,other
O00141,2.7.11,other,1.10.510.10
O00142,other,Mitochondrion,3.40.50.300
O00144,,Cell membrane,other
O00148,3.6.4,"Nucleus, Cytoplasm",3.40.50.300
O00151,,other,other
O00154,other,other,other
O00155,,Cell membrane,1.20.1070.10
O00159,,other,other
O00160,,,other
O00161,,other,other
O00165,,other,
O00167,3.1.3,"Cytoplasm, Nucleus",other
O00168,,other,other
O00175,,Secreted,other
O00178,,Cytoplasm,other
O00180,,other,other
O00182,,other,other
O00186,,other,other
O00187,3.4.21,Secreted,other
O00189,,other,other
O00192,,other,other
O00194,3.6.5,other,3.40.50.300
O00198,,other,
O00203,,other,other
O00204,other,other,3.40.50.300
O00206,,other,other
O00213,,other,other
O00214,,other,other
O00217,other,Mitochondrion inner membrane,other
O00219,2.4.1,other,
O00220,,other,other
O00221,,Cytoplasm,other
O00222,,Cell membrane,other
O00231,,other,other
O00232,,,other
O00233,,,other
O00237,2.3.2,Endoplasmic reticulum membrane,other
O00238,2.7.11,Cell membrane,other
O00241,,Cell membrane,2.60.40.10
O00244,,,other
O00253,,other,other
O00254,,Cell membrane,1.20.1070.10
O00257,2.3.2,other,other
O00258,,Endoplasmic reticulum membrane,other
O00264,,other,other
O00267,,Nucleus,other
O00268,,Nucleus,other
O00270,,Cell membrane,1.20.1070.10
O00273,,Cytoplasm,other
O00287,,Nucleus,other
O00291,,other,other
O00292,,Secreted,other
O00294,,other,
O00299,other,other,other
O00300,,Secreted,other
O00303,3.4.19,Cytoplasm,other
O00305,,,other
O00308,2.3.2,Nucleus,other
O00311,2.7.11,Nucleus,1.10.510.10
O00322,,Membrane,other
O00327,,other,other
O00329,other,Cytoplasm,other
O00330,,other,other
O00337,,other,
O00338,other,other,3.40.50.300
O00339,,Secreted,other
O00341,,other,other
O00358,,Nucleus,other
O00370,other,,other
O00391,other,other,other
O00399,,other,other
O00400,,Endoplasmic reticulum membrane,other
O00401,,other,other
O00408,other,other,other
O00409,,Nucleus,other
O00410,,other,other
O00411,other,Mitochondrion,other
O00418,2.7.11,,other
O00421,,Cell membrane,1.20.1070.10
O00422,,other,other
O00423,,other,2.130.10.10
O00425,,other,other
O00429,3.6.5,other,other
O00442,other,other,other
O00443,other,other,other
O00444,2.7.11,other,other
O00445,,other,other
O00451,,Cell membrane,other
O00453,,other,
O00459,,,other
O00461,,other,
O00462,other,other,other
O00463,,other,other
O00468,,other,other
O00469,other,other,other
O00470,,Nucleus,1.10.10.60
O00471,,other,
O00472,,Nucleus,other
O00476,,other,other
O00478,,Cell membrane,other
O00481,,Cell membrane,other
O00482,,Nucleus,other
O00483,,Mitochondrion inner membrane,
O00487,3.4.19,,other
O00488,,other,3.30.160.60
O00499,,other,other
O00501,,other,other
O00505,,"Cytoplasm, Nucleus",other
O00506,2.7.11,other,other
O00507,3.4.19,,other
O00512,,Nucleus,other
O00519,other,other,other
O00522,,other,other
O00526,,Cell membrane,
O00533,,other,2.60.40.10
O00541,,other,other
O00548,,other,other
O00555,,Cell membrane,other
O00559,,other,
O00560,,other,other
O00562,,other,other
O00566,,other,
O00567,,other,other
O00571,3.6.4,other,3.40.50.300
O00574,,Cell membrane,1.20.1070.10
O00584,other,other,other
O00585,,Secreted,other
O00587,2.4.1,other,other
O00590,,other,1.20.1070.10
O00591,,other,other
O00592,,other,
O00602,,other,other
O00622,,Secreted,other
O00623,,other,other
O00624,,other,other
O00625,other,"Nucleus, Cytoplasm",other
O00626,,Secreted,other
O00628,,other,2.130.10.10
O00629,,"Cytoplasm, Nucleus",other
O00631,,other,
O00635,2.3.2,Cytoplasm,other
O00712,,Nucleus,
O00716,,Nucleus,other
O00743,3.1.3,other,other
O00744,,other,other
O00746,other,other,other
O00748,other,other,other
O00750,other,other,other
O00754,other,other,other
O00755,,other,other
O00757,3.1.3,other,other
O00762,2.3.2,,other
O00763,other,Mitochondrion,other
O00764,other,other,other
O00767,other,Endoplasmic reticulum membrane,
O14490,,other,
O14492,,other,other
O14493,,other,other
O14494,3.1.3,other,other
O14495,3.1.3,other,other
O14497,,Nucleus,other
O14503,,"Cytoplasm, Nucleus",other
O14508,,Cytoplasm,other
O14511,,other,other
O14512,,other,other
O14514,,other,other
O14519,,other,other
O14520,,other,other
O14521,,Mitochondrion inner membrane,other
O14522,3.1.3,Membrane,other
O14523,,other,
O14524,,other,
O14525,,other,other
O14526,,other,other
O14529,,Nucleus,other
O14530,,other,other
O14531,,Cytoplasm,other
O14543,,,other
O14544,,,other
O14556,other,Cytoplasm,other
O14558,,other,other
O14559,,,other
O14561,,Mitochondrion,other
O14569,other,other,other
O14576,,other,2.130.10.10
O14578,2.7.11,Cytoplasm,other
O14579,,other,other
O14593,,"Cytoplasm, Nucleus",other
O14594,,Secreted,other
O14595,3.1.3,Nucleus,other
O14607,other,Nucleus,other
O14610,,Cell membrane,other
O14613,,other,
O14617,,other,other
O14618,,Cytoplasm,other
O14625,,Secreted,other
O14627,,Nucleus,1.10.10.60
O14628,,Nucleus,"6.10.140.140, 3.30.160.60"
O14633,,,
O14638,other,other,other
O14639,,other,other
O14640,,other,other
O14641,,other,other
O14645,,other,
O14646,3.6.4,"Nucleus, Cytoplasm",other
O14647,3.6.4,Nucleus,other
O14649,,Cell membrane,other
O14653,,other,other
O14654,,Cell membrane,other
O14656,3.6.4,other,3.40.50.300
O14657,3.6.4,other,3.40.50.300
O14662,,other,other
O14669,,Cell membrane,other
O14672,other,other,other
O14678,other,other,other
O14681,,other,
O14682,,other,other
O14684,other,other,other
O14713,,other,other
O14717,2.1.1,Cytoplasm,other
O14727,,Cytoplasm,other
O14730,2.7.11,Cytoplasm,1.10.510.10
O14732,3.1.3,Cytoplasm,other
O14733,other,"Nucleus, Cytoplasm",1.10.510.10
O14734,other,other,other
O14735,other,other,other
O14737,,,other
O14744,2.1.1,other,other
O14745,,other,other
O14746,other,other,other
O14756,other,other,other
O14757,2.7.11,other,other
O14763,,Membrane,other
O14764,,Cell membrane,other
O14770,,other,1.10.10.60
O14771,,Nucleus,other
O14772,other,Cytoplasm,other
O14773,other,other,other
O14775,,Membrane,2.130.10.10
O14776,,Nucleus,other
O14777,,other,other
O14786,,other,other
O14787,,"Cytoplasm, Nucleus",other
O14788,,other,other
O14791,,Secreted,
O14792,other,other,3.40.50.300
O14793,,Secreted,other
O14795,,other,other
O14796,,,other
O14798,,Cell membrane,other
O14802,other,other,other
O14804,,Cell membrane,1.20.1070.10
O14807,3.6.5,Cell membrane,3.40.50.300
O14810,,other,other
O14813,,Nucleus,1.10.10.60
O14815,other,,other
O14817,,Cell membrane,other
O14818,,"Cytoplasm, Nucleus",other
O14827,,other,other
O14828,,Membrane,
O14829,3.1.3,,other
O14830,3.1.3,other,other
O14832,other,other,other
O14836,,Membrane,other
O14841,other,other,
O14842,,Cell membrane,1.20.1070.10
O14843,,Cell membrane,1.20.1070.10
O14862,,other,other
O14863,,other,other
O14867,,Nucleus,other
O14874,2.7.11,other,other
O14879,,other,other
O14880,other,other,other
O14893,,other,other
O14894,,other,
O14896,,"Nucleus, Cytoplasm",other
O14901,,Nucleus,3.30.160.60
O14904,,other,other
O14905,,other,other
O14907,,other,other
O14908,,other,other
O14910,,other,other
O14917,,Cell membrane,other
O14920,2.7.11,other,other
O14924,,other,other
O14925,,Mitochondrion inner membrane,
O14926,,other,other
O14931,,Cell membrane,2.60.40.10
O14933,2.3.2,,other
O14936,2.7.11,other,other
O14939,other,Cell membrane,other
O14944,,other,other
O14948,,Nucleus,other
O14949,,Mitochondrion inner membrane,other
O14950,,,other
O14958,,other,other
O14960,,other,other
O14964,,other,other
O14966,,other,3.40.50.300
O14967,,Endoplasmic reticulum membrane,other
O14972,,other,other
O14974,,other,other
O14975,other,other,other
O14976,2.7.11,other,other
O14977,,Nucleus,other
O14978,,Nucleus,other
O14979,,"Nucleus, Cytoplasm",3.30.70.330
O14980,,other,other
O14981,3.6.4,Nucleus,other
O14983,other,other,other
O14986,other,other,other
O14994,,other,other
O15013,,,other
O15014,,Nucleus,
O15015,,Nucleus,3.30.160.60
O15020,,other,other
O15021,2.7.11,Cytoplasm,other
O15027,,other,other
O15031,,Cell membrane,other
O15033,2.3.2,,other
O15040,,,2.130.10.10
O15041,,Secreted,other
O15042,,Nucleus,other
O15047,2.1.1,other,other
O15049,,other,
O15054,other,Nucleus,other
O15055,,other,other
O15056,3.1.3,other,other
O15060,,Nucleus,3.30.160.60
O15062,,Nucleus,3.30.160.60
O15066,,other,other
O15067,other,Cytoplasm,other
O15068,,other,other
O15072,other,other,other
O15075,2.7.11,,other
O15078,,other,
O15079,,other,
O15083,,other,other
O15084,,other,other
O15085,,other,other
O15091,other,Mitochondrion,other
O15105,,"Nucleus, Cytoplasm",other
O15111,2.7.11,"Cytoplasm, Nucleus",other
O15116,,other,other
O15117,,other,other
O15118,,other,other
O15119,,Nucleus,other
O15120,2.3.1,Endoplasmic reticulum membrane,
O15121,other,other,
O15123,,Secreted,other
O15126,,other,
O15127,,other,
O15130,,Secreted,
O15143,,other,2.130.10.10
O15144,,other,other
O15145,,other,other
O15146,other,other,other
O15151,,Nucleus,other
O15155,,other,other
O15156,,Nucleus,3.30.160.60
O15160,,other,other
O15162,other,other,
O15164,2.3.2,other,other
O15165,,other,other
O15169,,other,other
O15173,,other,other
O15178,,Nucleus,other
O15182,,other,other
O15194,3.1.3,Nucleus,other
O15195,,,other
O15197,,other,other
O15198,,"Cytoplasm, Nucleus",other
O15204,other,Secreted,other
O15205,,"Nucleus, Cytoplasm",
O15209,,Nucleus,3.30.160.60
O15211,,,other
O15212,,,other
O15213,,other,2.130.10.10
O15217,other,Cytoplasm,other
O15226,,other,other
O15228,2.3.1,other,
O15229,other,other,other
O15231,,other,other
O15232,,Secreted,other
O15234,,other,
O15239,,Mitochondrion inner membrane,
O15240,,other,
O15243,,other,
O15244,,other,other
O15245,,other,other
O15247,other,other,other
O15254,other,other,other
O15258,,other,
O15259,,other,other
O15260,,other,
O15263,,Secreted,
O15264,2.7.11,,1.10.510.10
O15265,,other,other
O15266,,Nucleus,1.10.10.60
O15269,2.3.1,Endoplasmic reticulum membrane,other
O15270,2.3.1,Endoplasmic reticulum membrane,other
O15273,,other,other
O15287,,"Nucleus, Cytoplasm",other
O15294,2.4.1,other,other
O15296,other,other,other
O15297,3.1.3,other,other
O15303,,other,other
O15304,,"Cytoplasm, Nucleus",
O15305,other,Cytoplasm,other
O15315,,Nucleus,3.40.50.300
O15318,,"Nucleus, Cytoplasm",
O15327,3.1.3,,other
O15342,,Membrane,
O15344,2.3.2,other,other
O15347,,other,other
O15350,,"Nucleus, Cytoplasm",other
O15353,,Nucleus,other
O15354,,other,1.20.1070.10
O15355,3.1.3,other,other
O15357,3.1.3,other,other
O15360,,"Nucleus, Cytoplasm",
O15371,,Cytoplasm,
O15372,,Cytoplasm,other
O15374,,Cell membrane,other
O15379,other,other,other
O15381,,other,other
O15382,other,Mitochondrion,other
O15389,,Membrane,2.60.40.10
O15391,,Nucleus,3.30.160.60
O15392,,other,
O15393,3.4.21,other,other
O15394,,Cell membrane,2.60.40.10
O15397,,"Cytoplasm, Nucleus",other
O15399,,other,other
O15400,,other,other
O15405,,Nucleus,other
O15409,,Nucleus,other
O15427,,other,other
O15431,,other,
O15432,,other,
O15438,other,other,other
O15439,other,other,other
O15440,other,other,other
O15444,,Secreted,other
O15446,,other,other
O15455,,other,other
O15457,,other,other
O15460,other,other,other
O15466,other,other,other
O15467,,Secreted,other
O15479,,,other
O15481,,Cytoplasm,other
O15484,other,,other
O15488,2.4.1,,
O15492,,Membrane,other
O15496,other,other,other
O15498,2.3.1,other,other
O15499,,Nucleus,1.10.10.60
O15503,,Endoplasmic reticulum membrane,
O15504,,other,
O15511,,other,other
O15514,,Nucleus,other
O15516,2.3.1,other,other
O15519,,,other
O15520,,Secreted,other
O15522,,Nucleus,1.10.10.60
O15523,3.6.4,"Cytoplasm, Nucleus",3.40.50.300
O15524,,other,other
O15525,,Nucleus,other
O15527,other,other,other
O15528,other,other,other
O15530,2.7.11,other,other
O15534,,"Nucleus, Cytoplasm",other
O15535,,Nucleus,other
O15537,,other,other
O15540,,Cytoplasm,other
O15541,2.3.2,other,other
O15547,,Membrane,other
O15550,other,Nucleus,other
O15551,,other,other
O15552,,Cell membrane,1.20.1070.10
O15553,,other,other
O15554,,Cell membrane,other
O43143,3.6.4,other,other
O43147,,other,other
O43148,2.1.1,Nucleus,other
O43150,,other,other
O43151,other,other,
O43155,,other,other
O43156,,Cytoplasm,other
O43157,,other,other
O43159,2.1.1,other,other
O43164,2.3.2,other,other
O43166,,other,other
O43167,,Nucleus,3.30.160.60
O43169,,other,other
O43172,,other,other
O43173,other,other,other
O43174,other,other,other
O43175,other,,other
O43181,,Mitochondrion inner membrane,other
O43182,,Cytoplasm,other
O43184,other,other,other
O43186,,Nucleus,1.10.10.60
O43187,,,other
O43189,,other,other
O43193,,Cell membrane,1.20.1070.10
O43194,,Cell membrane,1.20.1070.10
O43196,,,other
O43236,,other,3.40.50.300
O43237,,other,3.40.50.300
O43242,,,other
O43248,,Nucleus,1.10.10.60
O43251,,"Nucleus, Cytoplasm",3.30.70.330
O43252,other,,other
O43255,2.3.2,"Cytoplasm, Nucleus",other
O43257,,Nucleus,other
O43264,,other,other
O43278,,other,other
O43280,other,Cell membrane,other
O43281,,,other
O43283,2.7.11,other,1.10.510.10
O43286,2.4.1,other,
O43290,,Nucleus,
O43291,,other,other
O43292,,Endoplasmic reticulum membrane,other
O43293,2.7.11,other,1.10.510.10
O43294,,other,other
O43295,,,other
O43296,,Nucleus,"6.10.140.140, 3.30.160.60"
O43298,,Nucleus,3.30.160.60
O43299,,"Cytoplasm, Nucleus",other
O43300,,other,3.80.10.10
O43303,,other,
O43306,other,other,other
O43307,,other,other
O43310,,other,other
O43312,,other,other
O43313,,Nucleus,3.30.160.60
O43314,other,other,other
O43315,,Cell membrane,other
O43316,,Nucleus,other
O43318,2.7.11,other,1.10.510.10
O43320,,Secreted,other
O43323,other,other,other
O43324,,other,other
O43353,2.7.11,other,other
O43364,,Nucleus,1.10.10.60
O43365,,Nucleus,1.10.10.60
O43374,,other,other
O43379,,other,2.130.10.10
O43390,,other,3.30.70.330
O43395,,other,other
O43396,,"Cytoplasm, Nucleus",other
O43399,,,other
O43402,,Endoplasmic reticulum membrane,
O43405,,other,other
O43422,,,
O43424,,other,other
O43426,3.1.3,other,other
O43427,,other,
O43432,,,other
O43435,,Nucleus,other
O43439,,Nucleus,other
O43447,other,other,other
O43462,other,other,other
O43463,2.1.1,other,other
O43464,3.4.21,other,other
O43474,,"Nucleus, Cytoplasm",3.30.160.60
O43482,,other,
O43488,other,other,other
O43490,,other,
O43491,,other,other
O43493,,other,
O43497,,other,other
O43502,,other,other
O43504,,other,other
O43505,2.4.1,other,
O43506,other,Membrane,other
O43508,,other,other
O43511,,other,other
O43513,,Nucleus,other
O43516,,other,other
O43520,other,other,other
O43521,,other,
O43524,,other,other
O43525,,Cell membrane,other
O43526,,Cell membrane,other
O43529,other,other,
O43541,,Nucleus,other
O43542,,other,3.40.50.300
O43543,,other,3.40.50.300
O43548,2.3.2,Cytoplasm,other
O43556,,other,
O43557,,other,other
O43559,,Membrane,other
O43561,,Cell membrane,
O43566,,other,other
O43567,2.3.2,other,other
O43570,other,other,other
O43572,,other,other
O43581,,other,other
O43583,,Cytoplasm,other
O43586,,other,other
O43592,,"Nucleus, Cytoplasm",other
O43593,other,Nucleus,other
O43597,,other,
O43598,other,"Cytoplasm, Nucleus",other
O43602,,other,other
O43603,,Cell membrane,1.20.1070.10
O43609,,other,
O43610,,Cytoplasm,
O43612,,other,
O43613,,Cell membrane,1.20.1070.10
O43614,,Cell membrane,1.20.1070.10
O43615,,other,other
O43617,,other,other
O43623,,"Nucleus, Cytoplasm",3.30.160.60
O43633,,other,other
O43639,,other,other
O43653,,Cell membrane,other
O43660,,other,2.130.10.10
O43663,,other,other
O43665,,other,other
O43670,,other,
O43674,,Mitochondrion inner membrane,
O43676,,Mitochondrion inner membrane,
O43678,,Mitochondrion inner membrane,other
O43679,,Nucleus,other
O43680,,Nucleus,other
O43681,other,other,3.40.50.300
O43683,2.7.11,other,other
O43684,,other,2.130.10.10
O43688,3.1.3,other,other
O43699,,other,2.60.40.10
O43704,other,Cytoplasm,3.40.50.300
O43707,,other,other
O43708,other,Cytoplasm,other
O43709,2.1.1,other,other
O43711,,Nucleus,1.10.10.60
O43715,,other,
O43716,other,Mitochondrion,
O43719,,other,3.30.70.330
O43731,,other,
O43734,2.3.2,,other
O43739,,other,other
O43741,,,other
O43745,,other,other
O43747,,other,other
O43749,,Cell membrane,1.20.1070.10
O43752,,other,other
O43759,,other,
O43760,,other,
O43761,,other,
O43763,,Nucleus,1.10.10.60
O43765,,"Cytoplasm, Nucleus",other
O43766,other,Mitochondrion,other
O43768,,Cytoplasm,
O43772,,Mitochondrion inner membrane,other
O43776,other,Cytoplasm,other
O43781,other,other,other
O43790,,,other
O43791,,other,other
O43795,,,other
O43805,,other,
O43808,,other,other
O43809,,"Nucleus, Cytoplasm",other
O43813,other,other,other
O43815,,other,other
O43818,,other,2.130.10.10
O43819,,Mitochondrion inner membrane,other
O43820,other,other,other
O43822,,other,3.80.10.10
O43823,,other,
O43825,2.4.1,other,other
O43826,,Endoplasmic reticulum membrane,other
O43827,,Secreted,other
O43829,,Nucleus,3.30.160.60
O43837,,Mitochondrion,other
O43847,other,other,other
O43852,,other,other
O43854,,Secreted,other
O43861,other,other,other
O43865,,other,other
O43866,,other,other
O43868,,other,
O43889,,other,other
O43895,other,Cell membrane,other
O43896,,other,other
O43897,other,Secreted,other
O43900,,other,other
O43903,,other,other
O43909,2.4.1,other,
O43913,,other,3.40.50.300
O43914,,Cell membrane,other
O43915,,Secreted,other
O43916,other,other,3.40.50.300
O43918,,"Nucleus, Cytoplasm",other
O43920,,other,
O43921,,Cell membrane,other
O43924,,other,other
O43927,,Secreted,other
O43929,,Nucleus,3.40.50.300
O43933,3.6.4,other,other
O60216,,other,other
O60218,other,other,other
O60220,,Mitochondrion inner membrane,other
O60231,3.6.4,other,other
O60232,,,
O60235,3.4.21,other,other
O60237,,other,other
O60238,,other,other
O60239,,other,
O60240,,other,
O60241,,other,other
O60242,,Cell membrane,other
O60243,other,Membrane,3.40.50.300
O60244,,Nucleus,
O60248,,Nucleus,other
O60256,,,other
O60258,,Secreted,other
O60259,3.4.21,other,other
O60260,2.3.2,other,other
O60264,3.6.4,other,other
O60266,other,other,other
O60269,,,
O60271,,other,other
O60282,3.6.4,other,other
O60284,,Nucleus,other
O60285,2.7.11,"Nucleus, Cytoplasm",1.10.510.10
O60291,2.3.2,other,other
O60292,,other,other
O60293,,Nucleus,other
O60294,2.1.1,,other
O60296,,other,
O60303,,other,
O60304,,Nucleus,other
O60306,3.6.4,other,3.40.50.300
O60307,2.7.11,Cytoplasm,other
O60308,,other,other
O60312,other,other,other
O60313,3.6.5,other,3.40.50.300
O60315,,other,other
O60318,2.3.1,other,other
O60331,other,other,other
O60333,other,other,other
O60336,,other,2.130.10.10
O60337,2.3.2,Endoplasmic reticulum membrane,other
O60341,other,other,other
O60343,,Cytoplasm,other
O60346,3.1.3,other,other
O60353,,other,other
O60356,,other,
O60359,,Membrane,other
O60381,,Nucleus,other
O60383,,Secreted,other
O60391,,other,other
O60393,,Nucleus,1.10.10.60
O60423,other,other,other
O60427,other,other,other
O60437,,other,other
O60443,,other,
O60447,,other,other
O60449,,Membrane,other
O60462,,other,other
O60469,,other,2.60.40.10
O60476,other,other,other
O60477,,Cytoplasm,
O60478,,other,
O60479,,"Nucleus, Cytoplasm",1.10.10.60
O60481,,"Nucleus, Cytoplasm",3.30.160.60
O60486,,Membrane,other
O60487,,Membrane,2.60.40.10
O60488,other,other,other
O60493,,other,other
O60496,,,other
O60499,,other,other
O60500,,Cell membrane,2.60.40.10
O60502,other,"Nucleus, Cytoplasm",other
O60503,other,Cell membrane,other
O60504,,other,other
O60506,,other,3.30.70.330
O60507,other,other,3.40.50.300
O60508,,other,2.130.10.10
O60512,2.4.1,other,
O60513,2.4.1,other,
O60516,,"Cytoplasm, Nucleus",
O60519,,Nucleus,other
O60524,,other,other
O60543,,other,other
O60547,other,,other
O60548,,Nucleus,other
O60551,2.3.1,other,other
O60563,,Nucleus,other
O60565,,Secreted,other
O60566,2.7.11,other,other
O60568,other,other,other
O60573,,other,other
O60583,,other,other
O60603,,other,other
O60609,,Cell membrane,other
O60610,,other,other
O60635,,other,other
O60636,,Membrane,other
O60641,,other,other
O60645,,other,other
O60656,2.4.1,Endoplasmic reticulum membrane,other
O60658,other,,other
O60662,,other,other
O60663,,Nucleus,other
O60664,,other,other
O60667,,other,2.60.40.10
O60669,,other,other
O60671,,Nucleus,other
O60674,other,other,other
O60675,,Nucleus,other
O60678,2.1.1,Cytoplasm,other
O60682,,Nucleus,other
O60683,2.3.2,other,other
O60684,,,other
O60687,,other,other
O60701,other,,other
O60704,other,other,3.40.50.300
O60706,,Membrane,other
O60711,,other,other
O60716,,other,other
O60721,,Cell membrane,other
O60725,2.1.1,Endoplasmic reticulum membrane,other
O60729,3.1.3,other,other
O60733,other,other,other
O60741,,Cell membrane,other
O60749,,other,other
O60755,,Cell membrane,1.20.1070.10
O60759,,other,other
O60760,other,Cytoplasm,other
O60762,2.4.1,other,
O60763,,other,other
O60779,,Cell membrane,other
O60783,,Mitochondrion,other
O60784,,other,other
O60806,,Nucleus,other
O60812,,Nucleus,3.30.70.330
O60814,,other,other
O60825,other,,other
O60826,,other,
O60828,,other,other
O60829,,other,
O60830,,Mitochondrion inner membrane,
O60831,,other,
O60832,other,other,other
O60840,,Membrane,other
O60841,3.6.5,Cytoplasm,other
O60858,2.3.2,Endoplasmic reticulum membrane,other
O60861,,Cytoplasm,other
O60869,,"Cytoplasm, Nucleus",other
O60870,,"Nucleus, Cytoplasm",other
O60879,,other,other
O60880,,Cytoplasm,other
O60882,other,other,other
O60883,,other,1.20.1070.10
O60884,,Membrane,other
O60885,,other,other
O60888,,,other
O60890,,other,other
O60894,,Membrane,other
O60895,,Membrane,other
O60896,,other,other
O60902,,Nucleus,1.10.10.60
O60906,other,Cell membrane,other
O60907,,Nucleus,other
