identifier,phrog,product,function
phage_0181,164,ParA-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_0182,1535,tail length tape measure protein,tail
phage_0183,150,baseplate hub,tail
phage_0184,442,head-tail adaptor,connector
phage_0185,979,terminase large subunit,head and packaging
phage_0186,377,anti-repressor Ant,transcription regulation
phage_0187,3927,head scaffolding protein,head and packaging
phage_0188,677,baseplate wedge tail fiber protein connector,tail
phage_0189,15,terminase large subunit,head and packaging
phage_0190,2159,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_0191,4581,terminase small subunit,head and packaging
phage_0192,100,SbcD-like subunit of palindrome specific endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0193,1640,tail protein,tail
phage_0194,2468,head morphogenesis,head and packaging
phage_0195,1097,Erf-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_0196,1442,tail assembly chaperone,tail
phage_0197,1124,transcriptional regulator,transcription regulation
phage_0198,307,endonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_0199,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover"
phage_0200,36,transcriptional regulator,transcription regulation
phage_0201,317,endolysin,lysis
phage_0202,312,Rz-like spanin,lysis
phage_0203,328,head maturation protease,head and packaging
phage_0204,237,head scaffolding protein,head and packaging
phage_0205,1962,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0206,1685,,unknown function
phage_0207,5073,tail fiber protein,tail
phage_0208,140,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_0209,115,minor head protein,head and packaging
phage_0210,371,major head protein,head and packaging
phage_0211,3201,tail fiber protein,tail
phage_0212,1649,metallo-phosphoesterase,other
phage_0213,22609,tail fiber protein,tail
phage_0214,122,head decoration,head and packaging
phage_0215,317,endolysin,lysis
phage_0216,972,tail fiber protein proximal subunit,tail
phage_0217,9773,replication initiation O-like,"DNA, RNA and nucleotide metabolism"
phage_0218,659,Sak-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_0219,2941,virion structural protein,head and packaging
phage_0220,2647,head decoration,head and packaging
phage_0221,19777,head scaffolding protein,head and packaging
phage_0222,2816,protease,other
phage_0223,17793,,unknown function
phage_0224,1373,transcriptional regulator,transcription regulation
phage_0225,16914,sporulation protein,"moron, auxiliary metabolic gene and host takeover"
phage_0226,2468,head morphogenesis,head and packaging
phage_0227,90,endolysin,lysis
phage_0228,5,tail completion or Neck1 protein,connector
phage_0229,18673,tail fiber protein,tail
phage_0230,3817,tail chaperonin,tail
phage_0231,45,tail tube,tail
phage_0232,24210,tail fiber protein,tail
phage_0233,16227,virion structural protein,head and packaging
phage_0234,9522,major tail protein,tail
phage_0235,213,portal protein,head and packaging
phage_0236,1802,radical SAM domain-containing protein,other
phage_0237,620,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_0238,93,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0239,2,terminase large subunit,head and packaging
phage_0240,1316,RNA polymerase beta subunit,"DNA, RNA and nucleotide metabolism"
phage_0241,2765,PhoH-like phosphate starvation-inducible,other
phage_0242,5810,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_0243,213,portal protein,head and packaging
phage_0244,5448,tail length tape measure protein,tail
phage_0245,237,head scaffolding protein,head and packaging
phage_0246,19943,virion structural protein,head and packaging
phage_0247,300,tail fiber protein,tail
phage_0248,38233,tail fiber protein,tail
phage_0249,9690,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_0250,8125,tail length tape measure protein,tail
phage_0251,308,internal virion protein,head and packaging
phage_0252,1423,Reverse transcriptase,"DNA, RNA and nucleotide metabolism"
phage_0253,330,tail assembly chaperone,tail
phage_0254,213,portal protein,head and packaging
phage_0255,1030,tail needle knob,tail
phage_0256,1032,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_0257,126,holin/anti-holin,lysis
phage_0258,83,terminase small subunit,head and packaging
phage_0259,1702,transcriptional repressor,transcription regulation
phage_0260,3084,endolysin,lysis
phage_0261,2491,major tail protein,tail
phage_0262,42,minor tail protein,tail
phage_0263,35,transcriptional repressor,transcription regulation
phage_0264,6102,lipase,"moron, auxiliary metabolic gene and host takeover"
phage_0265,161,head closure Hc1,connector
phage_0266,3437,major head protein,head and packaging
phage_0267,372,tail protein,tail
phage_0268,34270,tail length tape measure protein,tail
phage_0269,8510,virion structural protein,head and packaging
phage_0270,332,head-tail adaptor,connector
phage_0271,161,head closure Hc1,connector
phage_0272,2589,tail protein,tail
phage_0273,89,Rz-like spanin,lysis
phage_0274,11226,portal protein,head and packaging
phage_0275,457,tail protein,tail
phage_0276,2170,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0277,112,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_0278,231,UvsY-like recombination mediator,"DNA, RNA and nucleotide metabolism"
phage_0279,1,integrase,integration and excision
phage_0280,314,homing endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0281,756,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0282,12032,short tail fiber protein,tail
phage_0283,704,DNA repair exonuclease,"DNA, RNA and nucleotide metabolism"
phage_0284,205,tail sheath,tail
phage_0285,13015,virion structural protein,head and packaging
phage_0286,851,Shiga toxin subunit B,"moron, auxiliary metabolic gene and host takeover"
phage_0287,6116,holin,lysis
phage_0288,28737,,unknown function
phage_0289,16528,DNA methyltransferase,other
phage_0290,761,thymidylate kinase,other
phage_0291,607,exonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_0292,812,Rz-like spanin,lysis
phage_0293,218,head closure,connector
phage_0294,81,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover"
phage_0295,2976,head maturation protease,head and packaging
phage_0296,225,clamp loader of DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0297,659,Sak-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_0298,7,endolysin,lysis
phage_0299,6651,internal virion protein,head and packaging
phage_0300,1842,tail tube protein,tail
phage_0301,2649,endolysin,lysis
phage_0302,31,central tail fiber J,tail
phage_0303,1357,major head protein,head and packaging
phage_0304,112,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_0305,371,major head protein,head and packaging
phage_0306,5,tail completion or Neck1 protein,connector
phage_0307,3,transcriptional repressor,transcription regulation
phage_0308,991,tail length tape measure protein,tail
phage_0309,4372,tail length tape measure protein,tail
phage_0310,160,thymidylate synthase,"DNA, RNA and nucleotide metabolism"
phage_0311,2214,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0312,14960,,unknown function
phage_0313,3704,ferredoxin,"moron, auxiliary metabolic gene and host takeover"
phage_0314,163,CII-like transcriptional activator,transcription regulation
phage_0315,19943,virion structural protein,head and packaging
phage_0316,162,endolysin,lysis
phage_0317,457,tail protein,tail
phage_0318,5302,tail protein,tail
phage_0319,181,endolysin,lysis
phage_0320,8156,methyltransferase,other
phage_0321,822,amidase,lysis
phage_0322,29,major head protein,head and packaging
phage_0323,18186,baseplate wedge subunit,tail
phage_0324,4204,tail terminator,connector
phage_0325,7,endolysin,lysis
phage_0326,26,tail completion or Neck1 protein,connector
phage_0327,769,transcriptional repressor,transcription regulation
phage_0328,582,Arc-like repressor,transcription regulation
phage_0329,2468,head morphogenesis,head and packaging
phage_0330,440,transaldolase,other
phage_0331,17470,,unknown function
phage_0332,17840,tail terminator,connector
phage_0333,8765,internal virion protein,head and packaging
phage_0334,135,dUTPase,"DNA, RNA and nucleotide metabolism"
phage_0335,3779,tail length tape measure protein,tail
phage_0336,400,tail protein,tail
phage_0337,23,tail sheath,tail
phage_0338,80,head maturation protease,head and packaging
phage_0339,378,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0340,379,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0341,2835,glucosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0342,7458,tail spike protein,tail
phage_0343,757,DNA methyltransferase,other
phage_0344,13211,baseplate hub subunit and tail lysozyme,tail
phage_0345,17001,endolysin,lysis
phage_0346,3377,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0347,44,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0348,1,integrase,integration and excision
phage_0349,4574,major tail protein,tail
phage_0350,316,dihydrofolate reductase,"DNA, RNA and nucleotide metabolism"
phage_0351,1216,portal protein,head and packaging
phage_0352,10342,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0353,6911,,unknown function
phage_0354,5046,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0355,111,DNA methyltransferase,other
phage_0356,4583,transcriptional repressor,transcription regulation
phage_0357,14478,virion structural protein,head and packaging
phage_0358,502,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_0359,244,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_0360,4581,terminase small subunit,head and packaging
phage_0361,40,head-tail adaptor Ad1,connector
phage_0362,2929,tail fiber protein,tail
phage_0363,31,central tail fiber J,tail
phage_0364,9942,tail fiber protein,tail
phage_0365,114,ATP-dependent DNA ligase,"DNA, RNA and nucleotide metabolism"
phage_0366,7250,,unknown function
phage_0367,18345,tail fiber protein,tail
phage_0368,7,endolysin,lysis
phage_0369,12050,virion structural protein,head and packaging
phage_0370,11,baseplate spike,tail
phage_0371,227,tail sheath stabilizer,tail
phage_0372,25,head closure Hc1,connector
phage_0373,739,Rz-like spanin,lysis
phage_0374,5668,tail fiber protein,tail
phage_0375,458,protease,other
phage_0376,179,tail terminator,connector
phage_0377,4134,,unknown function
phage_0378,2,terminase large subunit,head and packaging
phage_0379,182,photosystem II D1,"moron, auxiliary metabolic gene and host takeover"
phage_0380,617,major head protein,head and packaging
phage_0381,50,DnaC-like helicase loader,"DNA, RNA and nucleotide metabolism"
phage_0382,443,holin,lysis
phage_0383,460,head closure Hc2,connector
phage_0384,290,minor tail protein,tail
phage_0385,460,head closure Hc2,connector
phage_0386,2167,inhibitor of host Lon protease,other
phage_0387,179,tail terminator,connector
phage_0388,1216,portal protein,head and packaging
phage_0389,13438,tail tube protein,tail
phage_0390,308,internal virion protein,head and packaging
phage_0391,1253,inhibitor of host transcription,transcription regulation
phage_0392,2941,virion structural protein,head and packaging
phage_0393,795,partition protein ATPase,other
phage_0394,138,major head protein,head and packaging
phage_0395,45,tail tube,tail
phage_0396,3758,virion structural protein,head and packaging
phage_0397,25,head closure Hc1,connector
phage_0398,32,tail assembly protein,tail
phage_0399,316,dihydrofolate reductase,"DNA, RNA and nucleotide metabolism"
phage_0400,20570,,unknown function
phage_0401,5,tail completion or Neck1 protein,connector
phage_0402,660,,unknown function
phage_0403,12473,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0404,86,ribonucleoside diphosphate reductase small subunit,"DNA, RNA and nucleotide metabolism"
phage_0405,7861,acetyltransferase,other
phage_0406,2987,RNA polymerase beta subunit,"DNA, RNA and nucleotide metabolism"
phage_0407,863,tail fiber assembly,tail
phage_0408,77,SbcC-like subunit of palindrome specific endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0409,4492,tail fiber protein,tail
phage_0410,270,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_0411,472,WhiB transcriptional factor,transcription regulation
phage_0412,120,baseplate wedge subunit,tail
phage_0413,130,anti-repressor Ant,transcription regulation
phage_0414,5,tail completion or Neck1 protein,connector
phage_0415,18345,tail fiber protein,tail
phage_0416,13892,minor tail protein,tail
phage_0417,15,terminase large subunit,head and packaging
phage_0418,316,dihydrofolate reductase,"DNA, RNA and nucleotide metabolism"
phage_0419,1360,DenB-like DNA endonuclease IV,"DNA, RNA and nucleotide metabolism"
phage_0420,5342,tail fiber protein,tail
phage_0421,818,,unknown function
phage_0422,167,tail length tape measure protein,tail
phage_0423,346,minor tail protein,tail
phage_0424,38,terminase large subunit,head and packaging
phage_0425,8401,beta-propeller repeat protein,other
phage_0426,361,terminase small subunit,head and packaging
phage_0427,568,plasmid stability,"DNA, RNA and nucleotide metabolism"
phage_0428,1028,head maturation protease,head and packaging
phage_0429,119,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0430,179,tail terminator,connector
phage_0431,145,portal protein,head and packaging
phage_0432,668,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0433,448,nicotinamide phosphoribosyl transferase,other
phage_0434,887,queuine tRNA-ribosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0435,668,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0436,21,portal protein,head and packaging
phage_0437,8763,tail protein,tail
phage_0438,80,head maturation protease,head and packaging
phage_0439,30543,tail length tape measure protein,tail
phage_0440,31,central tail fiber J,tail
phage_0441,239,DNA primase/helicase,"DNA, RNA and nucleotide metabolism"
phage_0442,24210,tail fiber protein,tail
phage_0443,80,head maturation protease,head and packaging
phage_0444,3534,,unknown function
phage_0445,1328,major head protein,head and packaging
phage_0446,1204,tail protein,tail
phage_0447,2214,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0448,16267,,unknown function
phage_0449,1889,terminase small subunit,head and packaging
phage_0450,945,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0451,25572,,unknown function
phage_0452,32294,baseplate wedge subunit,tail
phage_0453,1196,tail assembly chaperone,tail
phage_0454,93,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0455,556,minor head protein,head and packaging
phage_0456,119,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0457,9116,tail protein,tail
phage_0458,9232,portal protein,head and packaging
phage_0459,11693,pilot protein for DNA ejection,tail
phage_0460,38,terminase large subunit,head and packaging
phage_0461,2885,baseplate wedge subunit,tail
phage_0462,11704,transposase,integration and excision
phage_0463,4771,DHH phosphoesterase,other
phage_0464,12,portal protein,head and packaging
phage_0465,21866,primase,"DNA, RNA and nucleotide metabolism"
phage_0466,4912,tail fiber assembly,tail
phage_0467,15,terminase large subunit,head and packaging
phage_0468,2401,periplasmic protein,other
phage_0469,1663,dCTP deaminase,"DNA, RNA and nucleotide metabolism"
phage_0470,2835,glucosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0471,4660,minor head protein,head and packaging
phage_0472,2514,DnaD-like helicase loader,"DNA, RNA and nucleotide metabolism"
phage_0473,341,major tail protein,tail
phage_0474,236,nucleotide kinase,other
phage_0475,221,metallo-phosphoesterase,other
phage_0476,990,metal-dependent phosphohydrolase,other
phage_0477,4211,tail length tape measure protein,tail
phage_0478,15,terminase large subunit,head and packaging
phage_0479,697,structural protein,head and packaging
phage_0480,3855,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0481,123,tail terminator,connector
phage_0482,9483,tail length tape measure protein,tail
phage_0483,790,endolysin,lysis
phage_0484,979,terminase large subunit,head and packaging
phage_0485,357,transcriptional repressor,transcription regulation
phage_0486,192,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism"
phage_0487,2639,Arc-like repressor,transcription regulation
phage_0488,991,tail length tape measure protein,tail
phage_0489,617,major head protein,head and packaging
phage_0490,1645,virion structural protein,head and packaging
phage_0491,2255,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0492,409,transcriptional regulator,transcription regulation
phage_0493,207,head maturation protease,head and packaging
phage_0494,34,RusA-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_0495,540,nucleotide-sugar epimerase,"DNA, RNA and nucleotide metabolism"
phage_0496,1216,portal protein,head and packaging
phage_0497,3430,virion structural protein,head and packaging
phage_0498,66,excisionase and transcriptional regulator,integration and excision
phage_0499,4200,tail length tape measure protein,tail
phage_0500,167,tail length tape measure protein,tail
phage_0501,94,head maturation protease,head and packaging
phage_0502,3717,terminase large subunit,head and packaging
phage_0503,33693,portal protein,head and packaging
phage_0504,1533,tail length tape measure protein,tail
phage_0505,59,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0506,991,tail length tape measure protein,tail
phage_0507,80,head maturation protease,head and packaging
phage_0508,423,endonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_0509,27932,baseplate hub subunit and tail lysozyme,tail
phage_0510,5749,transposase,integration and excision
phage_0511,1519,endolysin,lysis
phage_0512,4529,minor head protein and DNA pilot,head and packaging
phage_0513,13119,,unknown function
phage_0514,10356,virion structural protein,head and packaging
phage_0515,1640,tail protein,tail
phage_0516,9729,tail fiber protein,tail
phage_0517,9427,head maturation protease,head and packaging
phage_0518,2633,endonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_0519,17587,tail fiber protein,tail
phage_0520,1298,minor tail protein,tail
phage_0521,31460,tail protein,tail
phage_0522,3041,cytidyltransferase,other
phage_0523,88,major tail protein,tail
phage_0524,18345,tail fiber protein,tail
phage_0525,5668,tail fiber protein,tail
phage_0526,894,endolysin,lysis
phage_0527,1,integrase,integration and excision
phage_0528,578,head closure Hc3,connector
phage_0529,1328,major head protein,head and packaging
phage_0530,5,tail completion or Neck1 protein,connector
phage_0531,211,head-tail adaptor Ad2,connector
phage_0532,1,integrase,integration and excision
phage_0533,9298,radical SAM domain protein,other
phage_0534,2,terminase large subunit,head and packaging
phage_0535,147,transcriptional regulator,transcription regulation
phage_0536,7364,single strand DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0537,19445,tail tip protein Tal,head and packaging
phage_0538,414,RNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0539,35,transcriptional repressor,transcription regulation
phage_0540,83,terminase small subunit,head and packaging
phage_0541,1167,phosphofructokinase,other
phage_0542,13764,virion structural protein,head and packaging
phage_0543,231,UvsY-like recombination mediator,"DNA, RNA and nucleotide metabolism"
phage_0544,57,terminase small subunit,head and packaging
phage_0545,14938,membrane protein,"moron, auxiliary metabolic gene and host takeover"
phage_0546,2662,portal protein,head and packaging
phage_0547,156,portal protein,head and packaging
phage_0548,28427,,unknown function
phage_0549,2076,QueE-like  radical SAM domain,"moron, auxiliary metabolic gene and host takeover"
phage_0550,53,head maturation protease,head and packaging
phage_0551,1314,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0552,521,tail protein,tail
phage_0553,228,Arc-like repressor,transcription regulation
phage_0554,539,excisionase,integration and excision
phage_0555,67,DNA methyltransferase,other
phage_0556,442,head-tail adaptor,connector
phage_0557,1216,portal protein,head and packaging
phage_0558,14,minor tail protein,tail
phage_0559,99,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0560,156,portal protein,head and packaging
phage_0561,1994,DNA binding protein,"DNA, RNA and nucleotide metabolism"
phage_0562,32,tail assembly protein,tail
phage_0563,6234,host RecBCD nuclease inhibitor,"moron, auxiliary metabolic gene and host takeover"
phage_0564,20162,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0565,80,head maturation protease,head and packaging
phage_0566,94,head maturation protease,head and packaging
