identifier,phrog,product,function,product_category
phage_0048,991,tail length tape measure protein,tail,tail_tape_measure
phage_0049,16089,polymerase,"DNA, RNA and nucleotide metabolism",
phage_0050,4267,RNA replicase beta subunit,"DNA, RNA and nucleotide metabolism",
phage_0051,339,tail length tape measure protein,tail,tail_tape_measure
phage_0052,26,tail completion or Neck1 protein,connector,tail_assembly
phage_0053,119,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0054,1272,tail length tape measure protein,tail,tail_tape_measure
phage_0055,25,head closure Hc1,connector,head_assembly
phage_0056,3282,sigma factor,transcription regulation,transcription
phage_0057,61,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover",
phage_0058,582,Arc-like repressor,transcription regulation,transcriptional_control
phage_0059,3262,,unknown function,
phage_0060,4704,tail length tape measure protein,tail,tail_tape_measure
phage_0061,18673,tail fiber protein,tail,minor_tail
phage_0062,3895,ADP-ribosyltransferase exoenzyme toxin,"moron, auxiliary metabolic gene and host takeover",toxin_systems
phage_0063,686,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0064,1686,tail length tape measure protein,tail,tail_tape_measure
phage_0065,211,head-tail adaptor Ad2,connector,connector
phage_0066,18891,tail length tape measure protein,tail,tail_tape_measure
phage_0067,5,tail completion or Neck1 protein,connector,tail_assembly
phage_0068,1530,DNA methyltransferase,other,dna_modification
phage_0069,469,tail protein,tail,
phage_0070,12,portal protein,head and packaging,portal
phage_0071,14441,tail length tape measure protein,tail,tail_tape_measure
phage_0072,1849,,unknown function,
phage_0073,4636,tail spike protein,tail,minor_tail
phage_0074,677,baseplate wedge tail fiber protein connector,tail,minor_tail
phage_0075,350,tail protein,tail,
phage_0076,10775,tail protein,tail,
phage_0077,124,Sak4-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism",
phage_0078,7168,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0079,6142,baseplate assembly protein,tail,baseplate
phage_0080,1219,tail needle protein,tail,minor_tail
phage_0081,351,RNA polymerase sigma factor,transcription regulation,transcription
phage_0082,328,head maturation protease,head and packaging,head_assembly
phage_0083,5060,anti-repressor Ant,transcription regulation,transcriptional_control
phage_0084,13911,virion structural protein,head and packaging,structural
phage_0085,10356,virion structural protein,head and packaging,structural
phage_0086,523,tail collar fiber protein,tail,
phage_0087,115,minor head protein,head and packaging,minor_capsid
phage_0088,198,holin,lysis,lysis
phage_0089,1975,superoxide dismutase precursor,"moron, auxiliary metabolic gene and host takeover",
phage_0090,15789,,unknown function,
phage_0091,2206,virion RNA polymerase,"DNA, RNA and nucleotide metabolism",transcription
phage_0092,3927,head scaffolding protein,head and packaging,head_assembly
phage_0093,89,Rz-like spanin,lysis,lysis
phage_0094,20231,tail protein,tail,
phage_0095,13466,membrane protein,"moron, auxiliary metabolic gene and host takeover",membrane_proteins
phage_0096,3139,aminotransferase,other,transferases
phage_0097,4,transcriptional repressor,transcription regulation,transcription_regulation
phage_0098,3513,endolysin,lysis,lysis
phage_0099,2170,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover",transferases
phage_0100,130,anti-repressor Ant,transcription regulation,transcriptional_control
phage_0101,4936,transcriptional regulator,transcription regulation,transcription_regulation
phage_0102,213,portal protein,head and packaging,portal
phage_0103,5073,tail fiber protein,tail,minor_tail
phage_0104,3927,head scaffolding protein,head and packaging,head_assembly
phage_0105,8003,virion structural protein,head and packaging,structural
phage_0106,16120,virion structural protein,head and packaging,structural
phage_0107,20428,tail terminator,connector,tail_assembly
phage_0108,5863,minor head protein,head and packaging,minor_capsid
phage_0109,3336,tail length tape measure protein,tail,tail_tape_measure
phage_0110,24456,tail fiber protein,tail,minor_tail
phage_0111,8689,pilot protein for DNA ejection,tail,
phage_0112,45,tail tube,tail,
phage_0113,19519,neck protein,connector,connector
phage_0114,1687,MarR family transcrition regulator,transcription regulation,transcriptional_control
phage_0115,12229,ribonucleotide reductase,"DNA, RNA and nucleotide metabolism",oxidoreductases
phage_0116,26778,,unknown function,
phage_0117,2205,Mu Gam-like end protection,"DNA, RNA and nucleotide metabolism",
phage_0118,22502,methyltransferase,other,dna_modification
phage_0119,1379,,unknown function,
phage_0120,443,holin,lysis,lysis
phage_0121,11011,long tail fiber protein distal subunit,tail,minor_tail
phage_0122,687,structural protein,head and packaging,structural
phage_0123,250,,unknown function,
phage_0124,5668,tail fiber protein,tail,minor_tail
phage_0125,6417,translational regulator,other,transcriptional_control
phage_0126,5668,tail fiber protein,tail,minor_tail
phage_0127,315,endolysin,lysis,lysis
phage_0128,379,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0129,144,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0130,1,integrase,integration and excision,recombination
phage_0131,1887,tail protein,tail,
phage_0132,13512,transcriptional regulator,transcription regulation,transcription_regulation
phage_0133,9589,endolysin,lysis,lysis
phage_0134,344,tail assembly chaperone,tail,tail_assembly
phage_0135,239,DNA primase/helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0136,15127,head protein,head and packaging,
phage_0137,7458,tail spike protein,tail,minor_tail
phage_0138,13289,tail protein,tail,
phage_0139,18788,,unknown function,
phage_0140,457,tail protein,tail,
phage_0141,314,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0142,7356,,unknown function,
phage_0143,237,head scaffolding protein,head and packaging,head_assembly
phage_0144,938,endolysin,lysis,lysis
phage_0145,10093,tail length tape measure protein,tail,tail_tape_measure
phage_0146,1706,CRISPR/Cas system associated,"DNA, RNA and nucleotide metabolism",
phage_0147,1271,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0148,2871,tail protein,tail,
phage_0149,4441,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0150,84,ribonucleoside-diphosphate reductase large subunit,"DNA, RNA and nucleotide metabolism",oxidoreductases
phage_0151,138,major head protein,head and packaging,major_capsid
phage_0152,472,WhiB transcriptional factor,transcription regulation,
phage_0153,3180,Arc-like repressor,transcription regulation,transcriptional_control
phage_0154,305,tail length tape measure protein,tail,tail_tape_measure
phage_0155,4,transcriptional repressor,transcription regulation,transcription_regulation
phage_0156,789,esterase/lipase,other,
phage_0157,20922,head morphogenesis,head and packaging,major_capsid
phage_0158,114,ATP-dependent DNA ligase,"DNA, RNA and nucleotide metabolism",ligases
phage_0159,1227,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_0160,169,tail completion or Neck1 protein,connector,tail_assembly
phage_0161,2579,ParB C-terminal domain,"DNA, RNA and nucleotide metabolism",
phage_0162,4704,tail length tape measure protein,tail,tail_tape_measure
phage_0163,4225,endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0164,27166,tail length tape measure protein,tail,tail_tape_measure
phage_0165,836,late transcriptional activator,transcription regulation,transcription_regulation
phage_0166,405,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0167,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_0168,10030,tail length tape measure protein,tail,tail_tape_measure
phage_0169,25788,tail fiber protein,tail,minor_tail
phage_0170,6651,internal virion protein,head and packaging,structural
phage_0171,3041,cytidyltransferase,other,
phage_0172,185,tail tube protein,tail,major_tail
phage_0173,1644,minor coat protein,head and packaging,
phage_0174,27126,neck protein,connector,connector
phage_0175,159,RuvC-like Holliday junction resolvase,"DNA, RNA and nucleotide metabolism",recombination
phage_0176,161,head closure Hc1,connector,head_assembly
phage_0177,144,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0178,62,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0179,1062,,unknown function,
phage_0180,2076,QueE-like  radical SAM domain,"moron, auxiliary metabolic gene and host takeover",
phage_0181,474,phosphofructokinase,other,
phage_0182,174,dCMP deaminase,"DNA, RNA and nucleotide metabolism",
phage_0183,1539,Arc-like repressor,transcription regulation,transcriptional_control
phage_0184,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover",immunity
phage_0185,9483,tail length tape measure protein,tail,tail_tape_measure
phage_0186,1706,CRISPR/Cas system associated,"DNA, RNA and nucleotide metabolism",
phage_0187,458,protease,other,peptidases
phage_0188,6201,CI-like repressor,transcription regulation,transcriptional_control
phage_0189,456,Rz-like spanin,lysis,lysis
phage_0190,1642,virion structural protein,head and packaging,structural
phage_0191,30742,tail fiber protein,tail,minor_tail
phage_0192,3305,virion structural protein,head and packaging,structural
phage_0193,13,Rz-like spanin,lysis,lysis
phage_0194,385,transcriptional regulator,transcription regulation,transcription_regulation
phage_0195,353,toxin,"moron, auxiliary metabolic gene and host takeover",toxin_systems
phage_0196,7348,endolysin,lysis,lysis
phage_0197,9483,tail length tape measure protein,tail,tail_tape_measure
phage_0198,90,endolysin,lysis,lysis
phage_0199,5448,tail length tape measure protein,tail,tail_tape_measure
phage_0200,664,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0201,1015,tail protein with lysin activity,tail,lysis
phage_0202,11189,NAD synthetase,other,ligases
phage_0203,38027,transcriptional repressor,transcription regulation,transcription_regulation
phage_0204,1689,nucleotide kinase,other,
phage_0205,1740,RNA polymerase sigma factor,transcription regulation,transcription
phage_0206,2448,,unknown function,
phage_0207,2255,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0208,677,baseplate wedge tail fiber protein connector,tail,minor_tail
phage_0209,24456,tail fiber protein,tail,minor_tail
phage_0210,130,anti-repressor Ant,transcription regulation,transcriptional_control
phage_0211,206,head scaffolding protein,head and packaging,head_assembly
phage_0212,12,portal protein,head and packaging,portal
phage_0213,582,Arc-like repressor,transcription regulation,transcriptional_control
phage_0214,13289,tail protein,tail,
phage_0215,156,portal protein,head and packaging,portal
phage_0216,2899,anti-repressor Ant,transcription regulation,transcriptional_control
phage_0217,7220,regulator of chromosome condensation,"DNA, RNA and nucleotide metabolism",transcriptional_control
phage_0218,86,ribonucleoside diphosphate reductase small subunit,"DNA, RNA and nucleotide metabolism",oxidoreductases
phage_0219,283,major head protein,head and packaging,major_capsid
phage_0220,18345,tail fiber protein,tail,minor_tail
phage_0221,16122,virion structural protein,head and packaging,structural
phage_0222,1721,galactosyl transferase,"moron, auxiliary metabolic gene and host takeover",
phage_0223,17526,,unknown function,
phage_0224,4201,tail fiber protein,tail,minor_tail
phage_0225,119,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0226,9270,tyrosyl-tRNA synthetase,"DNA, RNA and nucleotide metabolism",ligases
phage_0227,8463,transposase,integration and excision,
phage_0228,9959,tail length tape measure protein,tail,tail_tape_measure
phage_0229,309,terminase small subunit,head and packaging,dna_packaging
phage_0230,456,Rz-like spanin,lysis,lysis
phage_0231,2170,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover",transferases
phage_0232,1887,tail protein,tail,
phage_0233,213,portal protein,head and packaging,portal
phage_0234,205,tail sheath,tail,major_tail
phage_0235,473,virion structural protein,head and packaging,structural
phage_0236,6447,membrane protein,"moron, auxiliary metabolic gene and host takeover",membrane_proteins
phage_0237,57,terminase small subunit,head and packaging,dna_packaging
phage_0238,33693,portal protein,head and packaging,portal
phage_0239,4708,head scaffolding protein,head and packaging,head_assembly
phage_0240,6977,minor tail protein,tail,minor_tail
phage_0241,8841,DNA primase/helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0242,67,DNA methyltransferase,other,dna_modification
phage_0243,1400,Srd anti-sigma factor,"moron, auxiliary metabolic gene and host takeover",transcription
phage_0244,17744,baseplate wedge subunit,tail,baseplate
phage_0245,111,DNA methyltransferase,other,dna_modification
phage_0246,5653,terminase large subunit,head and packaging,dna_packaging
phage_0247,3188,co-chaperonin GroES,other,
phage_0248,213,portal protein,head and packaging,portal
phage_0249,3281,endonuclease VII,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0250,11271,head morphogenesis,head and packaging,major_capsid
phage_0251,2198,Alt-like transcription activator,transcription regulation,transcriptional_control
phage_0252,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover",immunity
phage_0253,606,terminase small subunit,head and packaging,dna_packaging
phage_0254,372,tail protein,tail,
phage_0255,328,head maturation protease,head and packaging,head_assembly
phage_0256,9017,tail fiber protein,tail,minor_tail
phage_0257,6745,endolysin,lysis,lysis
phage_0258,17744,baseplate wedge subunit,tail,baseplate
phage_0259,8125,tail length tape measure protein,tail,tail_tape_measure
phage_0260,1358,FtsK/SpoIIIE-like protein,"moron, auxiliary metabolic gene and host takeover",
phage_0261,207,head maturation protease,head and packaging,head_assembly
phage_0262,1037,virion structural protein,head and packaging,structural
phage_0263,107,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_0264,2443,amidoligase enzyme,other,ligases
phage_0265,2081,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0266,22474,endolysin,lysis,lysis
phage_0267,2536,Rz-like spanin,lysis,lysis
phage_0268,14260,tail protein,tail,
phage_0269,2658,hol-like chemotaxis,other,
phage_0270,885,major tail protein,tail,major_tail
phage_0271,4412,exonuclease V,"DNA, RNA and nucleotide metabolism",exonucleases
phage_0272,10030,tail length tape measure protein,tail,tail_tape_measure
phage_0273,6651,internal virion protein,head and packaging,structural
phage_0274,2206,virion RNA polymerase,"DNA, RNA and nucleotide metabolism",transcription
phage_0275,991,tail length tape measure protein,tail,tail_tape_measure
phage_0276,2568,ocr-like anti-restriction,"moron, auxiliary metabolic gene and host takeover",immunity
phage_0277,418,internal virion protein,head and packaging,structural
phage_0278,11,baseplate spike,tail,baseplate
phage_0279,22602,virion structural protein,head and packaging,structural
phage_0280,8008,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0281,2520,gamma-glutamyl cyclotransferase,"moron, auxiliary metabolic gene and host takeover",
phage_0282,1373,transcriptional regulator,transcription regulation,transcription_regulation
phage_0283,236,nucleotide kinase,other,
phage_0284,7686,Rz-like spanin,lysis,lysis
phage_0285,149,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_0286,2599,ribosomal protein S6 glutaminyl transferase,"moron, auxiliary metabolic gene and host takeover",
phage_0287,3895,ADP-ribosyltransferase exoenzyme toxin,"moron, auxiliary metabolic gene and host takeover",toxin_systems
phage_0288,10931,,unknown function,
phage_0289,599,Lar-like restriction alleviation protein,"moron, auxiliary metabolic gene and host takeover",immunity
phage_0290,4704,tail length tape measure protein,tail,tail_tape_measure
phage_0291,16120,virion structural protein,head and packaging,structural
phage_0292,1740,RNA polymerase sigma factor,transcription regulation,transcription
phage_0293,2328,transcriptional repressor,transcription regulation,transcription_regulation
phage_0294,7,endolysin,lysis,lysis
phage_0295,693,tail fiber protein,tail,minor_tail
phage_0296,2255,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0297,236,nucleotide kinase,other,
phage_0298,6616,tail protein,tail,
phage_0299,7121,tail fiber protein,tail,minor_tail
phage_0300,9570,tail length tape measure protein,tail,tail_tape_measure
phage_0301,403,DNA polymerase exonuclease subunit,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0302,4287,DNA ejection protein,"DNA, RNA and nucleotide metabolism",
phage_0303,13352,minor tail protein,tail,minor_tail
phage_0304,181,endolysin,lysis,lysis
phage_0305,156,portal protein,head and packaging,portal
phage_0306,147,transcriptional regulator,transcription regulation,transcription_regulation
phage_0307,18345,tail fiber protein,tail,minor_tail
phage_0308,21712,major head protein,head and packaging,major_capsid
phage_0309,38390,tail length tape measure protein,tail,tail_tape_measure
phage_0310,290,minor tail protein,tail,minor_tail
phage_0311,1423,Reverse transcriptase,"DNA, RNA and nucleotide metabolism",
phage_0312,24831,,unknown function,
phage_0313,12,portal protein,head and packaging,portal
phage_0314,2506,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_0315,24898,tail fiber protein,tail,minor_tail
phage_0316,13892,minor tail protein,tail,minor_tail
phage_0317,4629,HTH DNA binding domain protein,"DNA, RNA and nucleotide metabolism",
phage_0318,314,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0319,24456,tail fiber protein,tail,minor_tail
phage_0320,181,endolysin,lysis,lysis
phage_0321,29879,galactosyl transferase,"moron, auxiliary metabolic gene and host takeover",
phage_0322,221,metallo-phosphoesterase,other,
phage_0323,17230,tail fiber protein/ lysozyme,tail,minor_tail
phage_0324,11693,pilot protein for DNA ejection,tail,
phage_0325,4900,tail protein,tail,
phage_0326,10439,head scaffolding protein,head and packaging,head_assembly
phage_0327,1216,portal protein,head and packaging,portal
phage_0328,3855,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0329,25862,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0330,207,head maturation protease,head and packaging,head_assembly
phage_0331,11021,,unknown function,
phage_0332,66,excisionase and transcriptional regulator,integration and excision,recombination
phage_0333,231,UvsY-like recombination mediator,"DNA, RNA and nucleotide metabolism",
phage_0334,12,portal protein,head and packaging,portal
phage_0335,308,internal virion protein,head and packaging,structural
phage_0336,2617,short tail fiber protein,tail,minor_tail
phage_0337,1975,superoxide dismutase precursor,"moron, auxiliary metabolic gene and host takeover",
phage_0338,1160,baseplate protein,tail,baseplate
phage_0339,1247,MazG-like pyrophosphatase,other,hydrolases
phage_0340,435,endolysin,lysis,lysis
phage_0341,1419,tail protein,tail,
phage_0342,6942,tail fiber protein,tail,minor_tail
phage_0343,97,UvsX-like recombinase,other,recombination
phage_0344,3593,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0345,293,ABC transporter,"moron, auxiliary metabolic gene and host takeover",
phage_0346,498,DNA methyltransferase,other,dna_modification
phage_0347,4704,tail length tape measure protein,tail,tail_tape_measure
phage_0348,24456,tail fiber protein,tail,minor_tail
phage_0349,18293,methyltransferase,other,dna_modification
phage_0350,764,cytidyltransferase,other,
phage_0351,3267,tail protein,tail,
phage_0352,14138,minor tail protein,tail,minor_tail
phage_0353,855,,unknown function,
phage_0354,9483,tail length tape measure protein,tail,tail_tape_measure
phage_0355,76,tail protein,tail,
phage_0356,23178,peptidase,other,peptidases
phage_0357,1716,tail length tape measure protein,tail,tail_tape_measure
phage_0358,2662,portal protein,head and packaging,portal
phage_0359,473,virion structural protein,head and packaging,structural
phage_0360,598,DNA ejection,"DNA, RNA and nucleotide metabolism",
phage_0361,2835,glucosyltransferase,"moron, auxiliary metabolic gene and host takeover",
phage_0362,18345,tail fiber protein,tail,minor_tail
phage_0363,891,terminase small subunit,head and packaging,dna_packaging
phage_0364,214,Rz-like spanin,lysis,lysis
phage_0365,16,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0366,7013,,unknown function,
phage_0367,22609,tail fiber protein,tail,minor_tail
phage_0368,754,minor tail protein,tail,minor_tail
phage_0369,1942,tail length tape measure protein,tail,tail_tape_measure
phage_0370,193,head maturation protease,head and packaging,head_assembly
phage_0371,324,head morphogenesis,head and packaging,major_capsid
phage_0372,1044,endolysin,lysis,lysis
phage_0373,2723,tail length tape measure protein,tail,tail_tape_measure
phage_0374,991,tail length tape measure protein,tail,tail_tape_measure
phage_0375,9570,tail length tape measure protein,tail,tail_tape_measure
phage_0376,21992,esterase/lipase,other,
phage_0377,10499,,unknown function,
phage_0378,17587,tail fiber protein,tail,minor_tail
phage_0379,3810,acetyltransferase,other,transferases
phage_0380,23178,peptidase,other,peptidases
phage_0381,184,baseplate hub,tail,baseplate
phage_0382,16465,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_0383,2,terminase large subunit,head and packaging,dna_packaging
phage_0384,72,NinB/ Orf homologous recombination mediator,"DNA, RNA and nucleotide metabolism",
phage_0385,18104,transcriptional regulator,transcription regulation,transcription_regulation
phage_0386,2506,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_0387,4217,tail protein,tail,
phage_0388,2234,tail spike protein,tail,minor_tail
phage_0389,83,terminase small subunit,head and packaging,dna_packaging
phage_0390,367,ribonucleotide reductase,"DNA, RNA and nucleotide metabolism",oxidoreductases
phage_0391,22681,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0392,4211,tail length tape measure protein,tail,tail_tape_measure
phage_0393,942,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0394,3377,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0395,3037,transcriptional repressor,transcription regulation,transcription_regulation
phage_0396,17587,tail fiber protein,tail,minor_tail
phage_0397,21992,esterase/lipase,other,
phage_0398,4219,regulator of chromosome condensation,"DNA, RNA and nucleotide metabolism",transcriptional_control
phage_0399,16766,regulator of chromosome condensation,"DNA, RNA and nucleotide metabolism",transcriptional_control
phage_0400,5281,,unknown function,
phage_0401,17587,tail fiber protein,tail,minor_tail
phage_0402,11130,,unknown function,
phage_0403,6651,internal virion protein,head and packaging,structural
phage_0404,67,DNA methyltransferase,other,dna_modification
phage_0405,27166,tail length tape measure protein,tail,tail_tape_measure
phage_0406,31272,pilot protein for DNA ejection,tail,
phage_0407,24759,methyltransferase,other,dna_modification
phage_0408,5668,tail fiber protein,tail,minor_tail
phage_0409,9570,tail length tape measure protein,tail,tail_tape_measure
phage_0410,206,head scaffolding protein,head and packaging,head_assembly
phage_0411,1482,terminase small subunit,head and packaging,dna_packaging
phage_0412,4067,transglycosylase,other,
phage_0413,2669,baseplate protein,tail,baseplate
phage_0414,24676,tail length tape measure protein,tail,tail_tape_measure
phage_0415,274,DNA endonuclease V,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0416,6700,endolysin,lysis,lysis
phage_0417,2967,transcriptional regulator,transcription regulation,transcription_regulation
phage_0418,166,tail protein,tail,
phage_0419,180,baseplate wedge subunit,tail,baseplate
phage_0420,15651,tail fiber protein,tail,minor_tail
phage_0421,250,,unknown function,
phage_0422,3287,virion structural protein,head and packaging,structural
phage_0423,2837,tail protein,tail,
phage_0424,645,Rnase E,"DNA, RNA and nucleotide metabolism",
phage_0425,144,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0426,6616,tail protein,tail,
phage_0427,971,endolysin,lysis,lysis
phage_0428,9729,tail fiber protein,tail,minor_tail
phage_0429,4728,head morphogenesis,head and packaging,major_capsid
phage_0430,4211,tail length tape measure protein,tail,tail_tape_measure
phage_0431,26,tail completion or Neck1 protein,connector,tail_assembly
phage_0432,9474,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0433,4,transcriptional repressor,transcription regulation,transcription_regulation
phage_0434,16143,DNA methyltransferase,other,dna_modification
phage_0435,991,tail length tape measure protein,tail,tail_tape_measure
phage_0436,25867,tail protein,tail,
phage_0437,15,terminase large subunit,head and packaging,dna_packaging
phage_0438,4704,tail length tape measure protein,tail,tail_tape_measure
phage_0439,59,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0440,430,baseplate hub subunit and tail lysozyme,tail,baseplate
phage_0441,445,terminase small subunit,head and packaging,dna_packaging
phage_0442,25773,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0443,944,membrane protein,"moron, auxiliary metabolic gene and host takeover",membrane_proteins
phage_0444,12161,,unknown function,
phage_0445,2328,transcriptional repressor,transcription regulation,transcription_regulation
phage_0446,3779,tail length tape measure protein,tail,tail_tape_measure
phage_0447,16989,membrane protein,"moron, auxiliary metabolic gene and host takeover",membrane_proteins
phage_0448,14557,,unknown function,
phage_0449,10030,tail length tape measure protein,tail,tail_tape_measure
phage_0450,6578,tail fiber protein,tail,minor_tail
phage_0451,5687,,unknown function,
phage_0452,1645,virion structural protein,head and packaging,structural
phage_0453,9483,tail length tape measure protein,tail,tail_tape_measure
phage_0454,152,RinB-like transcriptional activator,transcription regulation,transcription_regulation
phage_0455,452,endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0456,15746,internal virion protein,head and packaging,structural
phage_0457,66,excisionase and transcriptional regulator,integration and excision,recombination
phage_0458,18522,tail protein,tail,
phage_0459,3855,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0460,4752,tRNA methyltransferase,other,dna_modification
phage_0461,2006,major head protein,head and packaging,major_capsid
phage_0462,588,tail fiber protein and host specificity,tail,minor_tail
phage_0463,323,"transcriptional regulator, D5-like",transcription regulation,transcription_regulation
phage_0464,4704,tail length tape measure protein,tail,tail_tape_measure
phage_0465,1328,major head protein,head and packaging,major_capsid
phage_0466,1204,tail protein,tail,
phage_0467,13163,baseplate wedge subunit,tail,baseplate
phage_0468,23570,virion structural protein,head and packaging,structural
phage_0469,5668,tail fiber protein,tail,minor_tail
phage_0470,31,central tail fiber J,tail,
phage_0471,15525,minor tail protein,tail,minor_tail
phage_0472,38,terminase large subunit,head and packaging,dna_packaging
phage_0473,442,head-tail adaptor,connector,connector
phage_0474,1218,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_0475,13989,virion structural protein,head and packaging,structural
phage_0476,237,head scaffolding protein,head and packaging,head_assembly
