identifier,Order,Family,Genus,protein_category,Protein families
D8VNS7,Squamata,Homalopsidae,Cerberus,ficolin,"Ficolin lectin family, Veficolin subfamily"
C0HLR8,Araneae,Lycosidae,Oculicosa,neurotoxin,"Neurotoxin 04 (omega-agtx) family, 01 (type I omega-agtx) subfamily"
B3EWV8,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 04 subfamily"
B5U6Y8,Squamata,Viperidae,Echis,,"Flavin monoamine oxidase family, FIG1 subfamily"
B3EWW1,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 04 subfamily"
C0HJY7,Hymenoptera,Formicidae,Anochetus,,Poneritoxin-Ae1 family
B3EWW0,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 04 subfamily"
A0A6M3Z4D9,Hymenoptera,Formicidae,Tetramorium,,Formicidae venom precursor-01 superfamily
B3EWV9,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 04 subfamily"
B3EWW7,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 09 subfamily"
A6MFL0,Squamata,Elapidae,Demansia,,"Flavin monoamine oxidase family, FIG1 subfamily"
C0HLK1,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
J7JU64,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin B superfamily
C0HJK5,Araneae,Thomisidae,Heriaeus,neurotoxin,Neurotoxin 07 (Beta/delta-agtx) family
C0HJA8,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
B3EWW9,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 09 subfamily"
A0A679PF76,Neogastropoda,Conidae,Conus,conotoxin,"Conotoxin C superfamily, Consomatin family"
A0A452CSQ9,Araneae,Hexathelidae,Hadronyche,neurotoxin,Neurotoxin 21 family
B0VXW0,Squamata,Viperidae,Sistrurus,,"Flavin monoamine oxidase family, FIG1 subfamily"
D2Y171,Neogastropoda,Conidae,Californiconus,,
D0PX84,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin K superfamily
I6R1R5,Scolopendromorpha,Scolopendridae,Scolopendra,scoloptoxin,Scoloptoxin-05 family
B3EWX0,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 09 subfamily"
B3EWW8,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 09 subfamily"
B3EWY3,Squamata,Viperidae,Crotalus,,"Natriuretic peptide family, Snake NP subfamily"
A0A6M3Z4R1,Hymenoptera,Formicidae,Tetramorium,,
A8QL51,Squamata,Elapidae,Bungarus,,"Flavin monoamine oxidase family, FIG1 subfamily"
C0HJY8,Hymenoptera,Formicidae,Anochetus,,Poneritoxin-Ae1 family
C0HJZ0,Hymenoptera,Formicidae,Anochetus,,Poneritoxin-Ae1 family
B3A0L5,Scorpiones,Buthidae,Tityus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 20 subfamily"
A0A3S9V8K6,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
B3EWV6,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 08 subfamily"
B3EWV5,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 03 subfamily"
C0HJH7,Hymenoptera,Formicidae,Dinoponera,,
D0PX85,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin K superfamily
C0HJU9,Araneae,Lycosidae,Lycosa,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 05 subfamily"
C0HLT7,Hymenoptera,Vespidae,Polybia,bradykinin_related,Bradykinin-related peptide family
D1MEI8,Hymenoptera,Vespidae,Eumenes,mcd_related,"MCD family, Mastoparan subfamily"
C9D7R3,Araneae,Sicariidae,Loxosceles,,
C0HJY9,Hymenoptera,Formicidae,Anochetus,,Poneritoxin-Ae1 family
A0A6G9KHE4,Hymenoptera,Formicidae,Manica,,
C0HKZ3,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
B3FIA5,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin V superfamily
A0A6M3Z9I6,Hymenoptera,Formicidae,Tetramorium,,Formicidae venom precursor-01 superfamily
B3EWV7,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 08 subfamily"
C9D7R2,Araneae,Sicariidae,Loxosceles,,
D5J9S0,Squamata,Elapidae,Bungarus,,Natriuretic peptide family
C0HJY5,Hymenoptera,Formicidae,Anochetus,,Poneritoxin-Ae1 family
P84700,Neogastropoda,Conidae,Conus,,Conophan family
P85259,Araneae,Zodariidae,Lachesana,cationic_peptide,Cationic peptide 06 (cytoinsectotoxin) family
A0A0B5ABD5,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
A0A0B5ADV0,Neogastropoda,Conidae,Conasprella,hormone_related,Insulin family
Q90X24,Squamata,Viperidae,Bothrops,vegf,"PDGF/VEGF growth factor family, Snake venom VEGF subfamily"
Q90W54,Squamata,Viperidae,Gloydius,,"Flavin monoamine oxidase family, FIG1 subfamily"
Q90X23,Squamata,Viperidae,Bothrops,vegf,"PDGF/VEGF growth factor family, Snake venom VEGF subfamily"
A0A0B5ADU4,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
A0A0B5ADT9,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
A0A0B5ABE4,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
Q8LW54,Hymenoptera,Apidae,Apis,,Melittin family
A0A023W0B6,Scolopendromorpha,Scolopendridae,Ethmostigmus,scoloptoxin,Scoloptoxin-08 family
A0A0R4I951,Scolopendromorpha,Scolopendridae,Scolopendra,scoloptoxin,Scoloptoxin-03 family
A0A3G5BIB1,Diptera,Asilidae,Dolopus,,Asilidin-12 family
A0A1L1QJU3,Araneae,Hexathelidae,Hadronyche,,"Psalmotoxin-1 family, Double-knot toxin subfamily"
A0A5C1ZW08,Neogastropoda,Conidae,Conus,phospholipase_a2,"Phospholipase A2 family, Group IX subfamily"
X5ICI2,Squamata,Viperidae,Gloydius,vegf,"PDGF/VEGF growth factor family, Snake venom VEGF subfamily"
A0A6G9KHD6,Hymenoptera,Formicidae,Manica,,Formicidae venom precursor-01 superfamily
A0A6G9KHD3,Hymenoptera,Formicidae,Manica,,
A0A0F7YZQ7,Neogastropoda,Conidae,Conus,,Elevenin family
A0A0A0VBX4,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
A0A0F7YYV0,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
A0A5C1ZXT8,Neogastropoda,Conidae,Conus,phospholipase_a2,"Phospholipase A2 family, Group IX subfamily"
A0A0B5AC98,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
C0HLM2,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
R4GUQ3,Scorpiones,Buthidae,Isometrus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 28 subfamily"
Q7Z094,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I1 superfamily
P0DQY7,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
A0A0R4I952,Neogastropoda,Conidae,Conus,,
A0A023W157,Scolopendromorpha,Scolopendridae,Ethmostigmus,scoloptoxin,Scoloptoxin-08 family
C0HJV6,Araneae,Zodariidae,Lachesana,cationic_peptide,Cationic peptide 06 (cytoinsectotoxin) family
Q7Z091,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin I1 superfamily
C0HKB2,Scorpiones,Scorpionidae,Pandinus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 24 subfamily"
C0HKB3,Scorpiones,Scorpionidae,Pandinus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Gamma-KTx 2 subfamily"
C0HL38,Araneae,Nephilidae,Trichonephila,,
C0HLS2,Hymenoptera,Formicidae,Pseudomyrmex,,
C0HLS3,Hymenoptera,Formicidae,Pseudomyrmex,,
C0K3N2,Squamata,Viperidae,Agkistrodon,vegf,"PDGF/VEGF growth factor family, Snake venom VEGF subfamily"
C0K3N3,Squamata,Viperidae,Crotalus,vegf,"PDGF/VEGF growth factor family, Snake venom VEGF subfamily"
A0A0B5A7N5,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
C0HJJ7,Araneae,Theraphosidae,Grammostola,,Phrixotoxin family
Q75WF2,Valvatida,Acanthasteridae,Acanthaster,,DNase II family
A0A7M4DUE8,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
A0A0B5ADT3,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
C3VVN6,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
P61408,Araneae,Theraphosidae,Grammostola,neurotoxin,Neurotoxin 30 (phrixotoxin) family
Q90Y12,Squamata,Viperidae,Crotalus,bradykinin_related,Bradykinin-potentiating peptide family; Natriuretic peptide family
Q8MTX2,Scorpiones,Hemiscorpiidae,Opisthacanthus,antimicrobial_peptide,"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family"
P0DV18,Hymenoptera,Formicidae,Neoponera,,Ponericin-G family
P0C7P5,Squamata,Viperidae,Protobothrops,bradykinin_related,Bradykinin-potentiating peptide family; Natriuretic peptide family
P0CC17,Squamata,Viperidae,Bothrops,,"Flavin monoamine oxidase family, FIG1 subfamily"
P0C023,Trebouxiales,Trebouxiaceae,Myrmecia,,"Formicidae venom precursor-01 superfamily, Ant pilosulin family"
P0DI84,Squamata,Viperidae,Vipera,,"Flavin monoamine oxidase family, FIG1 subfamily"
P0DJ41,Scorpiones,Scorpionidae,Heterometrus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor kappa-KTx family, Kappa-KTx 5 subfamily"
P0DM15,Neogastropoda,Conidae,Conus,,
P0DMB4,Hymenoptera,Vespidae,Vespa,,"AB hydrolase superfamily, Lipase family"
P0DQM9,Neogastropoda,Conidae,Conus,,
P0C349,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
P49268,Araneae,Euctenizidae,Apomastus,neurotoxin,"Neurotoxin 13 (insecticidal toxin ABC) family, 01 (Aps III) subfamily"
P56587,Hymenoptera,Apidae,Apis,,
P24335,Squamata,Viperidae,Tropidolaemus,,Waglerin family
Q1ELU5,Araneae,Zodariidae,Lachesana,cationic_peptide,"Cationic peptide 03 (latarcin) family, 04 subfamily"
P69437,Hymenoptera,Vespidae,Agelaia,mcd_related,"MCD family, Protonectin subfamily"
Q1ELU4,Araneae,Zodariidae,Lachesana,cationic_peptide,"Cationic peptide 03 (latarcin) family, 04 subfamily"
P82972,Squamata,Viperidae,Pseudocerastes,,Natriuretic peptide family
P81383,Squamata,Elapidae,Ophiophagus,,"Flavin monoamine oxidase family, FIG1 subfamily"
P81382,Squamata,Viperidae,Calloselasma,,"Flavin monoamine oxidase family, FIG1 subfamily"
P82851,Scorpiones,Scorpionidae,Chersonesometrus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor kappa-KTx family, Kappa-KTx 1 subfamily"
Q27J49,Squamata,Viperidae,Lachesis,bradykinin_related,Bradykinin-potentiating peptide family; Bradykinin inhibitor peptide family; Natriuretic peptide family
Q0GY40,Scorpiones,Caraboctonidae,Hoffmannihadrurus,scorpion_long_toxin,"Long chain scorpion toxin family, Class 3 subfamily"
P13208,Squamata,Lamprophiidae,Atractaspis,,Endothelin/sarafotoxin family
Q7SZN0,Squamata,Elapidae,Pseudonaja,,Multicopper oxidase family
Q8MMJ7,Scorpiones,Hemiscorpiidae,Opisthacanthus,antimicrobial_peptide,"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family"
Q91132,Squamata,Elapidae,Naja,,Venom complement C3 homolog family
Q6STF1,Squamata,Viperidae,Gloydius,,"Flavin monoamine oxidase family, FIG1 subfamily"
Q6TGQ8,Squamata,Viperidae,Bothrops,,"Flavin monoamine oxidase family, FIG1 subfamily"
Q92035,Squamata,Elapidae,Bungarus,,Type-B carboxylesterase/lipase family
Q26464,Trebouxiales,Trebouxiaceae,Myrmecia,,"Formicidae venom precursor-01 superfamily, Ant pilosulin family"
Q9PWF3,Squamata,Viperidae,Crotalus,,Crotamine-myotoxin family
Q58L91,Squamata,Elapidae,Oxyuranus,,Multicopper oxidase family
Q330K6,Squamata,Viperidae,Protobothrops,vegf,"PDGF/VEGF growth factor family, Snake venom VEGF subfamily"
Q2PE51,Squamata,Viperidae,Crotalus,bradykinin_related,Bradykinin-potentiating peptide family; Natriuretic peptide family
Q7LZ09,Squamata,Viperidae,Macrovipera,,Natriuretic peptide family
Q91453,Perciformes,Synanceiidae,Synanceia,,SNTX/VTX toxin family
P0DW98,Squamata,Viperidae,Protobothrops,vegf,"PDGF/VEGF growth factor family, Snake venom VEGF subfamily"
P23631,Araneae,Theridiidae,Latrodectus,cationic_peptide,"Cationic peptide 01 (latrotoxin) family, 03 (alpha-latrotoxin) subfamily"
P0DQQ4,Squamata,Viperidae,Crotalus,,Nucleotide pyrophosphatase/phosphodiesterase family
P61095,Araneae,Segestriidae,Segestria,neurotoxin,Neurotoxin 16 (SFI) family
P49126,Araneae,Diguetidae,Diguetia,neurotoxin,Neurotoxin 26 (DTX) family
P0C350,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
P61230,Araneae,Theraphosidae,Paraphysa,neurotoxin,Neurotoxin 30 (phrixotoxin) family
P0C7P6,Squamata,Viperidae,Trimeresurus,bradykinin_related,Bradykinin-potentiating peptide family; Natriuretic peptide family
A0A0B5A7N1,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
P0DM45,Neogastropoda,Conidae,Conus,,
P0DSM4,Hymenoptera,Formicidae,Neoponera,antimicrobial_peptide,"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily"
P0DSJ4,Trebouxiales,Trebouxiaceae,Myrmecia,,Formicidae venom precursor-01 superfamily
P0DRA3,Hymenoptera,Vespidae,Vespa,mcd_related,"MCD family, Mastoparan subfamily"
P26349,Squamata,Helodermatidae,Heloderma,hormone_related,Glucagon family
P21654,Hymenoptera,Vespidae,Vespa,mcd_related,"MCD family, Mastoparan subfamily"
P20394,Squamata,Helodermatidae,Heloderma,hormone_related,Glucagon family
P17684,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin B superfamily
