identifier,Order,Family,Genus,Protein families,Protein names,embeddings_labels,blast_labels
P85874,Hymenoptera,Vespidae,Polistes,"MCD family, Mastoparan subfamily",Mastoparan-like PMM (Mastoparan-like peptide PMM2),-1,4
P0DQO7,Araneae,Theraphosidae,Eucratoscelus,Neurotoxin 30 (phrixotoxin) family,Lambda-theraphotoxin-Ec2c (Lambda-TRTX-Ec2c) (Kappa-theraphotoxin-Ec2c) (Kappa-TRTX-Ec2c),-1,4
Q0ZZJ6,Squamata,Elapidae,Austrelaps,Venom complement C3 homolog family,A.superbus venom factor 1 (AVF-1) (CVF-like) (Complement C3 homolog) [Cleaved into: AVF-1 alpha chain; AVF-1 gamma chain; AVF-1 beta chain],-1,4
Q0GY42,Scorpiones,Buthidae,Tityus,"Long chain scorpion toxin family, Class 2 subfamily",Potassium channel toxin TcoKIK,-1,4
P0DQQ6,Neogastropoda,Conidae,Conus,Conotoxin A superfamily,Alpha-conotoxin MilIA,-1,4
P01476,Squamata,Viperidae,Crotalus,Crotamine-myotoxin family,Myotoxin-A (Myotoxin-1),-1,4
P86193,Squamata,Viperidae,Crotalus,Crotamine-myotoxin family,Crotamine-IV-2,-1,4
P86942,Neogastropoda,Conidae,Conus,,Conotoxin pc16a (pc16b),-1,4
P86194,Squamata,Viperidae,Crotalus,Crotamine-myotoxin family,Crotamine-IV-3,-1,4
P0DQT3,Hymenoptera,Vespidae,Parachartergus,"MCD family, Mastoparan subfamily",Polybia-MP-II (Polybia-MPII),-1,4
P83659,Hymenoptera,Pompilidae,Cyphononyx,Bradykinin-related peptide family,Cyphokinin (Bradykinin-related peptide) [Cleaved into: Thr6-bradykinin (Thr6-BK)],-1,4
P83047,Neogastropoda,Conidae,Conus,"O2 superfamily, Contryphan family",Contryphan-Vn,-1,4
P83619,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 01 subfamily",Cupiennin-1a (Cu-1a) (M-ctenitoxin-Cs1a) (M-CNTX-Cs1a),-1,4
P01499,Hymenoptera,Apidae,Apis,,Mast cell degranulating peptide (MCD peptide) (MCDP) (Peptide 401),-1,4
P60179,Neogastropoda,Conidae,Conus,Conotoxin O1 superfamily,Delta-conotoxin Am2766 (Am 2766) (Delta-Am2766),-1,4
I6S7G5,Scolopendromorpha,Scolopendridae,Scolopendra,Scoloptoxin-11 family,Kappa-scoloptoxin(11)-Ssm3a (Kappa-SLPTX(11)-Ssm3a) (Kappa-scoloptoxin-Ssm3a) (Kappa-SLPTX-Ssm3a),-1,4
P83230,Squamata,Elapidae,Oxyuranus,Natriuretic peptide family,Natriuretic peptide TNPc (TNP-c) (Taipan natriuretic peptide) (Venom natriuretic peptide OxsSNPc),-1,4
P83406,Scorpiones,Buthidae,Hottentotta,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 09 subfamily",Potassium channel toxin alpha-KTx 9.7 (BjTx-2),-1,4
O46168,Araneae,Agelenidae,Eratigena,Helical arthropod-neuropeptide-derived (HAND) family,U1-agatoxin-Ta1c (U1-AGTX-Ta1c) (Insecticidal toxin 3) (TaITX-3),-1,4
P82428,Hymenoptera,Formicidae,Neoponera,"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily",M-poneritoxin-Ng1f (M-PONTX-Ng1f) (Poneratoxin) (Ponericin-W6),-1,4
C7DT09,Hymenoptera,Vespidae,Orancistrocerus,MCD family,Venom peptide 3 (OdVP3) (VP3),-1,4
P86259,Neogastropoda,Conidae,Conus,Conotoxin T superfamily,Conotoxin tx5c (Conotoxin 2) [Cleaved into: Conotoxin tx5c-b; Conotoxin tx5c-c],-1,4
P83312,Scorpiones,Buthidae,Parabuthus,"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",Parabutoporin (PP) (Non-disulfide-bridged peptide 2.5) (NDBP-2.5) (Non-disulfide-bridged peptide 3.2) (NDBP-3.2),-1,4
P83301,Neogastropoda,Conidae,Conus,,Omega-conotoxin-like Vn2 (Conotoxin Vn2) (Conotoxin-Vn) (Vn6A),-1,4
D1MEI6,Hymenoptera,Vespidae,Eumenes,"MCD family, Eumenitin subfamily",Eumenitin VP1 (Venom peptide 1) (EpVP1) (VP1),-1,4
I6RU32,Scolopendromorpha,Scolopendridae,Scolopendra,Scoloptoxin-03 family,Kappa-scoloptoxin(03)-Ssm1a (Kappa-SLPTX(03)-Ssm1a) (Kappa-scoloptoxin-Ssm1a) (Kappa-SLPTX-Ssm1a),-1,4
P0C1Q5,Hymenoptera,Vespidae,Protonectarina,"MCD family, Mastoparan subfamily",Protonectarina mastoparan (Protonectarina-MP),-1,4
P60245,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Psi-conotoxin PIIIF,-1,4
P0C8E2,Neogastropoda,Conidae,Conus,Conotoxin B superfamily,Conantokin-Pr3 (Con-Pr3),-1,4
P0C8E0,Neogastropoda,Conidae,Conus,Conotoxin B superfamily,Conantokin-Pr1 (Con-Pr1),-1,4
I6RA66,Scolopendromorpha,Scolopendridae,Scolopendra,Scoloptoxin-07 family,Kappa-scoloptoxin(07)-Ssm2a (Kappa-SLPTX(07)-Ssm2a) (Kappa-scoloptoxin-Ssm2a) (Kappa-SLPTX-Ssm2a),-1,4
J3SBP3,Squamata,Viperidae,Crotalus,Nucleotide pyrophosphatase/phosphodiesterase family,Venom phosphodiesterase 2 (PDE) (EC 3.6.1.-),-1,4
P59869,Scorpiones,Buthidae,Hottentotta,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 05 subfamily",Potassium channel toxin alpha-KTx 5.4 (Tamapin),-1,4
Q1ELU8,Araneae,Zodariidae,Lachesana,"Cationic peptide 03 (latarcin) family, 06 subfamily",M-zodatoxin-Lt6a/b (M-ZDTX-Lt6a/b) (Latarcin 6-1) (Ltc 6-1) [Cleaved into: M-zodatoxin-Lt6b (M-ZDTX-Lt6b) (Latarcin-6b) (Ltc-6b); M-zodatoxin-Lt6a (M-ZDTX-Lt6a) (Latarcin-6a) (Ltc-6a)],-1,4
Q1ELU7,Araneae,Zodariidae,Lachesana,"Cationic peptide 03 (latarcin) family, 06 subfamily",M-zodatoxin-Lt6a/c (M-ZDTX-Lt6a/c) (Latarcin 6-2) (Ltc 6-2) [Cleaved into: M-zodatoxin-Lt6c (M-ZDTX-Lt6c) (Latarcin-6c) (Ltc-6c); M-zodatoxin-Lt6a (M-ZDTX-Lt6a) (Latarcin-6a) (Ltc-6a)],-1,4
P0C8L9,Scorpiones,Caraboctonidae,Hoffmannihadrurus,"Phospholipase A2 family, Group III subfamily",Phospholipase A2 (HgPLA2) (EC 3.1.1.4) (Group III heterodimeric phospholipase A2) (Phosphatidylcholine 2-acylhydrolase) [Cleaved into: Phospholipase A2 large subunit; Phospholipase A2 small subunit],-1,4
P0C1W7,Neogastropoda,Conidae,Conus,Conotoxin D superfamily,Alpha-conotoxin VxXXC (VxXIIC),-1,4
P0C1W8,Neogastropoda,Conidae,Conus,Conotoxin A superfamily,Alpha-conotoxin OIVB (Alpha-A-O4b) (Alpha-A-OIVB),-1,4
P0C249,Neogastropoda,Conidae,Conus,"O2 superfamily, Contryphan family",Contryphan-In (Contryphan-In936) [Cleaved into: Contryphan-In880 (Contryphan-In896)],-1,4
P0C2C5,Neogastropoda,Conidae,Conus,Conotoxin A superfamily,Conotoxin PIVE (Kappa-A-conotoxin PIVE) (KappaA-PIVE),-1,4
P84914,Hymenoptera,Vespidae,Polybia,"MCD family, Mastoparan subfamily",Polybia-mastoparan-III (Polybia-MP-III) (Polybia-MPIII) (Mastoparan peptide) (MP) (Venom protein 13b) (VP13b),-1,4
P0C5F2,Scorpiones,Hemiscorpiidae,Liocheles,,Insecticidal toxin LaIT1,-1,4
Q1ELU2,Araneae,Zodariidae,Lachesana,"Cationic peptide 03 (latarcin) family, 03 subfamily",M-zodatoxin-Lt3b (M-ZDTX-Lt3b) (Latarcin-3b) (Ltc-3b),-1,4
Q1ELU1,Araneae,Zodariidae,Lachesana,"Cationic peptide 03 (latarcin) family, 02 subfamily",M-zodatoxin-Lt2a (M-ZDTX-Lt2a) (Latarcin-2a) (Ltc-2a) (Ltc2a),-1,4
P0CH43,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 23 family, Double-knot toxin subfamily",Tau-theraphotoxin-Hs1a (Tau-TRTX-Hs1a) (Double-knot toxin) (DkTx),-1,4
P84388,Hymenoptera,Vespidae,Polybia,,Polybine-1 (Polybine-I),-1,4
P01478,Araneae,Hexathelidae,Atrax,Neurotoxin 06 (delta-actx) family,Delta-hexatoxin-Ar1a (Delta-HXTX-Ar1a) (Delta-atracotoxin-Ar1) (Delta-atracotoxin-Ar1a) (Delta-ACTX-Ar1a) (Robustoxin) (RBX),-1,4
Q1ELU9,Araneae,Zodariidae,Lachesana,"Cationic peptide 03 (latarcin) family, 05 subfamily",M-zodatoxin-Lt5a (M-ZDTX-Lt5a) (Latarcin-5) (Ltc-5),-1,4
P0CE77,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Mu-conotoxin SIIIB,-1,4
P0C8S5,Neogastropoda,Conidae,Conus,,Alpha-conotoxin PrXA (Alpha-C-PrXA),-1,4
P84701,Neogastropoda,Conidae,Conus,Conophan family,Conophan mus-V (Gamma-hydroxyconophan mus-V*),-1,4
P0CF38,Scorpiones,Buthidae,Isometrus,"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",Im-1 (Non-disulfide-bridged peptide 2.6) (NDBP-2.6),-1,4
P0C8M0,Araneae,Oxyopidae,Oxyopes,"Spiderine family, Spiderine subfamily",Omega-oxotoxin-Ol1a (Omega-OXTX-Ol1a) (Oxytoxin-1) (OxyTx1),-1,4
P86718,Araneae,Oxyopidae,Oxyopes,"Spiderine family, Cationic/spiderine subfamily",Spiderine-2a (OtTx2a),-1,4
P0CG45,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Kappa-conotoxin RIIIJ (Kappa-M-RIIIJ),-1,4
P0DJ94,Squamata,Helodermatidae,Heloderma,Glucagon family,Exendin-1 (Helospectin-1) (VIP-like 1) [Cleaved into: Exendin-1b (Helospectin-2)],-1,4
E2E4E4,Squamata,Varanidae,Varanus,Gastrin/cholecystokinin family,Cholecystoxin (Cholecystoxin-Vvar1) [Cleaved into: Cholecystoxin-22 (CCK-22); Cholecystoxin-8 (CCK-8)],-1,4
P0DJE3,Araneae,Theridiidae,Latrodectus,"Cationic peptide 01 (latrotoxin) family, 03 (alpha-latrotoxin) subfamily",Alpha-latrotoxin-Lhe1a (Alpha-LTX-Lhe1a) (Alpha-latrotoxin) (Alpha-LTX),-1,4
P60211,Scorpiones,Buthidae,Tityus,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 18 subfamily",Potassium channel toxin alpha-KTx 18.1 (Toxin Tc32) (Toxin To32),-1,4
P01514,Hymenoptera,Vespidae,Vespula,"MCD family, Mastoparan subfamily",Mastoparan-L (MP-L) (Mast-L),-1,4
P01518,Hymenoptera,Vespidae,Vespa,"MCD family, Crabrolin subfamily",Crabrolin,-1,4
P04205,Hymenoptera,Vespidae,Vespa,"MCD family, Mastoparan subfamily",Mastoparan-M (MP-M) (Mast cell-degranulating peptide),-1,4
P0DRA1,Hymenoptera,Vespidae,Vespa,"MCD family, Mastoparan subfamily",Mastoparan-VB1 (MP-VB1),-1,4
P0DQZ4,Hymenoptera,Vespidae,Vespa,"MCD family, Mastoparan subfamily",Mastoparan-VT1 [Cleaved into: Mastoparan-VT2],-1,4
P05486,Neogastropoda,Conidae,Conus,Vasopressin/oxytocin family,Conopressin-conophysin [Cleaved into: Conopressin-G (Con-G) (Conopressin-K) (Lys-conopressin-G); Conophysin-G],-1,4
P83228,Squamata,Elapidae,Oxyuranus,Natriuretic peptide family,Natriuretic peptide TNP-b (Taipan natriuretic peptide) (Venom natriuretic peptide OxsSNPb),-1,4
C4PWC4,Neogastropoda,Conidae,Conus,Conotoxin D superfamily,Alpha-conotoxin-like Mi20.1 (Alpha-D-conotoxin MlXXA) (Alpha-conotoxin-like Ml20.1),-1,4
P0C022,Hymenoptera,Vespidae,Anterhynchium,"MCD family, Mastoparan subfamily",Eumenine mastoparan-AF (EMP-AF) (Af-113),-1,4
P84389,Hymenoptera,Vespidae,Polybia,,Polybine-2 (Polybine-II),-1,4
P85871,Neogastropoda,Conidae,Conus,FARP (FMRFamide related peptide) family,Conorfamide-Sr2 (CNF-Sr2) (Cono-RFamide-Sr2),-1,4
P0DSL4,Trebouxiales,Trebouxiaceae,Myrmecia,EGF domain peptide family,OMEGA-myrmeciitoxin(02)-Mg1a (MIITX2-Mg1a) (OMEGA-MIITX(02)-Mg1a),-1,4
P0DRA0,Hymenoptera,Vespidae,Vespa,"MCD family, Crabrolin subfamily",Vespid chemotactic peptide VT1 (VCP-VT1) [Cleaved into: Vespid chemotactic peptide VT2 (VCP-VT2)],-1,4
P0CE29,Neogastropoda,Conidae,Conus,Conotoxin D superfamily,Alpha-conotoxin-like Ms20.4,-1,4
P0CJ38,Hymenoptera,Vespidae,Eumenes,"MCD family, Mastoparan subfamily",Eumenine mastoparan-ER (EMP-ER),-1,4
P0DJ08,Scorpiones,Hormuridae,Hormurus,,Phi-liotoxin-Lw1a (Phi-LITX-Lw1a) (U1-liotoxin-Lw1a) (U1-LITX-Lw1a),-1,4
P0DJC3,Neogastropoda,Conidae,Conus,,Conotoxin qc16a,-1,4
P0CG46,Neogastropoda,Conidae,Conus,Conotoxin B superfamily,Conantokin-Br (Con-Br) (ConBr) (Conantoxin-S1) (Con-S1),-1,4
I1SB07,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Mu-conotoxin CnIIIC,-1,4
B3EWV2,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 03 subfamily",Cupiennin-3b (Cu-3b) (Short cationic peptide-3b) (SCP-3b),-1,3
P01502,Hymenoptera,Apidae,Apis,Melittin family,Melittin (MEL) (MLT),-1,3
P01504,Hymenoptera,Apidae,Apis,Melittin family,Melittin (MEL) (MLT),-1,3
L7X8P2,Araneae,Theridiidae,Steatoda,"Cationic peptide 01 (latrotoxin) family, 03 (alpha-latrotoxin) subfamily",Alpha-latrotoxin-Sg1a (Alpha-LTX-Sg1a) (Alpha-latrotoxin) (Alpha-LTX),-1,3
N0EAL3,Scorpiones,Buthidae,Androctonus,"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",Mauriporin (Non-disulfide-bridged peptide 2.8) (NDBP-2.8),-1,3
P01516,Hymenoptera,Vespidae,Vespa,"MCD family, Mastoparan subfamily",Mastoparan-C (MP-C),-1,3
D8VNS9,Squamata,Homalopsidae,Cerberus,"Ficolin lectin family, Veficolin subfamily",Ryncolin-3,-1,3
B3EWU2,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 01 subfamily",Short cationic peptide-1b (SCP-1b) (Cupiennin 1-like peptide-1b) (Truncated variant of Cupiennin 1 family),-1,3
B3EWV1,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 03 subfamily",Cupiennin-3a (Cu-3a) (Short cationic peptide-3a) (SCP-3a),-1,3
B3EWU1,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 01 subfamily",Short cationic peptide-1a (SCP-1a) (Cupiennin 1-like peptide-1a) (Truncated variant of Cupiennin 1 family),-1,3
B3EWT4,Araneae,Ctenidae,Cupiennius,"Neurotoxin 02 (plectoxin) family, 07 subfamily",Toxin CSTX-19,-1,3
A0A3G5BIB4,Diptera,Asilidae,Dolopus,Asilidin-12 family,U-Asilidin(12)-Dg3a,-1,3
A0A348G5W2,Hymenoptera,Formicidae,Odontomachus,Formicidae venom precursor-01 superfamily,U-poneritoxin(01)-Om6a (PONTX(01)-Om6) (U-PONTX(01)-Om6a) (Pilosulin-like peptide 6) (PLP6) (Poneratoxin),-1,3
A0A3S9V8L7,Neogastropoda,Conidae,Conus,Insulin family,Con-Ins K1 (Insulin K1) [Cleaved into: Con-Ins K1 B chain; Con-Ins K1 A chain],-1,3
B3EWT3,Araneae,Ctenidae,Cupiennius,"Neurotoxin 02 (plectoxin) family, 07 subfamily",Toxin CSTX-18,-1,3
D1MZV3,Squamata,Colubridae,Rhabdophis,Natriuretic peptide family,C-type natriuretic peptide (CNP),-1,3
C0HJY6,Hymenoptera,Formicidae,Anochetus,Poneritoxin-Ae1 family,U1-poneritoxin-Ae1c (U1-PONTX-Ae1c) (Poneratoxin),-1,3
A0A8U0LTY4,Hymenoptera,Formicidae,Rhytidoponera,,Ectatotoxin-Rm1a (ECTX-Rm1a) (ECTX1-Rm1a),-1,3
B3EWY2,Squamata,Viperidae,Crotalus,"Natriuretic peptide family, Snake NP subfamily",Natriuretic peptide Coa_NP2,-1,3
A0A6M3Z541,Hymenoptera,Formicidae,Tetramorium,,U13-myrmicitoxin-Tb1a (U13-MYRTX-Tb1a) [Cleaved into: U13-myrmicitoxin-Tb1a (cleaved) (U13-MYRTX-Tb1a (cleaved))],-1,3
B1P1I0,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 13 (insecticidal toxin ABC) family, 03 (JZTX-59) subfamily",U29-theraphotoxin-Cg1a (U29-TRTX-Cg1a) (Jingzhaotoxin-59) (JZTX-59),-1,3
B3EWU3,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 01 subfamily",Short cationic peptide-1c (SCP-1c) (Cupiennin 1-like peptide-1c) (Truncated variant of Cupiennin 1 family),-1,3
P01477,Squamata,Viperidae,Crotalus,Crotamine-myotoxin family,Myotoxin (Crotamine-4) (Toxic peptide C),-1,3
B3EWN1,Araneae,Theraphosidae,Pterinochilus,Neurotoxin 30 (phrixotoxin) family,Beta/kappa-theraphotoxin-Pmu2a (Beta/kappa-TRTX-Pmu2a) (Beta/kappa-theraphotoxin-Pm2a) (Beta/kappa-TRTX-Pm2a) (Pterinotoxin-2),-1,3
D8VNS8,Squamata,Homalopsidae,Cerberus,"Ficolin lectin family, Veficolin subfamily",Ryncolin-2,-1,3
C0HKZ1,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin ar3g (Conotoxin ar3h),-1,3
F8S122,Squamata,Viperidae,Crotalus,Ohanin/vespryn family,Vespryn,-1,3
D1MEJ3,Hymenoptera,Vespidae,Eumenes,MCD family,Venom peptide 6 (EpVP6) (VP6) (Protonectin VP6),-1,3
C0HJV3,Araneae,Zodariidae,Lachesana,Cationic peptide 06 (cytoinsectotoxin) family,Cytoinsectotoxin-2a (CIT-2a),-1,3
C0HKK6,Neogastropoda,Turridae,Unedogemmula,,Turripeptide ubi3a,-1,3
B3EWW6,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 09 subfamily",Cupiennin-6b (Cu-6b) (Short cationic peptide-6b) (SCP-6b),-1,3
C6EVG1,Squamata,Helodermatidae,Heloderma,Glucagon family,Exendin-4,-1,3
B3EWW5,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 09 subfamily",Cupiennin-6a (Cu-6a) (Short cationic peptide-6a) (SCP-6a),-1,3
B3EWW4,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 07 subfamily",Cupiennin-7b (Cu-7b) (Short cationic peptide-5b) (SCP-5b),-1,3
D2Y168,Neogastropoda,Conidae,Californiconus,,Conotoxin Cal14.6 (Conotoxin Cal14.2) (Conotoxin Cal14a) (Conotoxin Cl14.6) (Conotoxin Cl14a),-1,3
C0HJV4,Araneae,Zodariidae,Lachesana,Cationic peptide 06 (cytoinsectotoxin) family,Cytoinsectotoxin-2c (CIT-2c),-1,3
F6JWU7,Neogastropoda,Conidae,Conus,Conotoxin D superfamily,Alpha-conotoxin Lt28.1 (Conotoxin Lt15.2) (Conotoxin Lt28.1),-1,3
C0HLZ7,Scorpiones,Buthidae,Buthus,Disintegrin-like family,RK peptide (Disintegrin-like peptide),-1,3
P01515,Hymenoptera,Vespidae,Vespa,"MCD family, Mastoparan subfamily",Mastoparan-X (MP-X) (MPX),-1,3
C0HJV5,Araneae,Zodariidae,Lachesana,Cationic peptide 06 (cytoinsectotoxin) family,Cytoinsectotoxin-3 (CIT-3),-1,3
A0A3S9V8L9,Neogastropoda,Conidae,Conus,Insulin family,Con-Ins T2 (Insulin T2) [Cleaved into: Con-Ins T2 B chain; Con-Ins T2 A chain],-1,3
B3EWX9,Scorpiones,Buthidae,Mesobuthus,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 09 subfamily",Potassium channel toxin alpha-KTx 9.11 (Toxin MegKTx2),-1,3
B3EWV4,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 03 subfamily",Cupiennin-3d (Cu-3d) (Short cationic peptide-3d) (SCP-3d),-1,3
D8VNS7,Squamata,Homalopsidae,Cerberus,"Ficolin lectin family, Veficolin subfamily",Ryncolin-1,-1,3
C0HLR8,Araneae,Lycosidae,Oculicosa,"Neurotoxin 04 (omega-agtx) family, 01 (type I omega-agtx) subfamily",Kappa-lycotoxin-Os1a (Kappa-LCTX-Os1a) (Toxin Osu1),-1,3
B3EWV8,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 04 subfamily",Short cationic peptide-4a (SCP-4a) (Short cationic peptide-4c) (SCP-4c) (Truncated variant of Cupiennin 4 family),-1,3
B5U6Y8,Squamata,Viperidae,Echis,"Flavin monoamine oxidase family, FIG1 subfamily",L-amino-acid oxidase (LAAO) (LAO) (EC 1.4.3.2),-1,3
B3EWW1,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 04 subfamily",Short cationic peptide-4d (SCP-4d) (Short cationic peptide-4f) (SCP-4f) (Truncated variant of Cupiennin 4 family),-1,3
C0HJY7,Hymenoptera,Formicidae,Anochetus,Poneritoxin-Ae1 family,U1-poneritoxin-Ae1d (U1-PONTX-Ae1d) (Poneratoxin),-1,3
B3EWW0,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 04 subfamily",Short cationic peptide-4c (SCP-4c) (Short cationic peptide-4e) (SCP-4e) (Truncated variant of Cupiennin 4 family),-1,3
A0A6M3Z4D9,Hymenoptera,Formicidae,Tetramorium,Formicidae venom precursor-01 superfamily,U10-myrmicitoxin-Tb1a (U10-MYRTX-Tb1a) [Cleaved into: U10-myrmicitoxin-Tb1a (cleaved) (Cleaved U10-MYRTX-Tb1a (cleaved))],-1,3
B3EWV9,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 04 subfamily",Short cationic peptide-4b (SCP-4b) (Short cationic peptide-4d) (SCP-4d) (Truncated variant of Cupiennin 4 family),-1,3
B3EWW7,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 09 subfamily",Cupiennin-6c (Cu-6c) (Short cationic peptide-6c) (SCP-6c),-1,3
A6MFL0,Squamata,Elapidae,Demansia,"Flavin monoamine oxidase family, FIG1 subfamily",L-amino-acid oxidase (DvLAAO) (LAO) (EC 1.4.3.2),-1,3
C0HLK1,Neogastropoda,Conidae,Conus,Conotoxin A superfamily,Alpha-conotoxin BruIB,-1,3
J7JU64,Neogastropoda,Conidae,Conus,Conotoxin B superfamily,Alpha-conotoxin VxXXIVA (AlphaB-conotoxin VxXXIVA),-1,3
C0HJK5,Araneae,Thomisidae,Heriaeus,Neurotoxin 07 (Beta/delta-agtx) family,Mu-thomitoxin-Hme1c (Mu-TMTX-Hme1c) (Neurotoxin Hm-3),-1,3
C0HJA8,Neogastropoda,Conidae,Conus,Conotoxin A superfamily,Alpha-conotoxin-like RgIB (Alpha-RGIB),-1,3
B3EWW9,Araneae,Ctenidae,Cupiennius,"Cationic peptide 04 (cupiennin) family, 09 subfamily",Cupiennin-6e (Cu-6e) (Short cationic peptide-6e) (SCP-6e),-1,3
A0A679PF76,Neogastropoda,Conidae,Conus,"Conotoxin C superfamily, Consomatin family",Consomatin Ma1 (ConSST Ma1) (Somatostatin-related peptide) (SSRP),-1,3
A0A452CSQ9,Araneae,Hexathelidae,Hadronyche,Neurotoxin 21 family,U21-hexatoxin-Hi1a (U21-HXTX-Hi1a) (SF26 peptide),-1,3
B0VXW0,Squamata,Viperidae,Sistrurus,"Flavin monoamine oxidase family, FIG1 subfamily",L-amino-acid oxidase (LAAO) (LAO) (EC 1.4.3.2),-1,3
D2Y171,Neogastropoda,Conidae,Californiconus,,Conotoxin Cal5a L1 [Cleaved into: Conotoxin Cal5b L1; Conotoxin Cal5.1],-1,3
D0PX84,Neogastropoda,Conidae,Conus,Conotoxin K superfamily,Conotoxin im23a (Im23.1) (U1-CTX-Ci1a),-1,3
