identifier,group,major_group,sub_group,membran_prediction,seq_start,number_cysteines
None|Oran1|Ornithorhynchus_anatinus,LYPD2,Ly-6,LYPD2,Membrane,MRP,11
None|Oran2|Ornithorhynchus_anatinus,SLURP1,Ly-6,SLURP1,Membrane,MKM,10
None|Oran3|Ornithorhynchus_anatinus,PSCA,Ly-6,PSCA,Membrane,MRA,10
None|Oran6|Ornithorhynchus_anatinus,Ly6D,Ly-6,Ly6D,Membrane,MKS,11
None|Oran7|Ornithorhynchus_anatinus,Non-human mammalian Ly6,Ly-6,Non-human mammalian Ly6,Membrane,MKV,12
None|Oran8|Ornithorhynchus_anatinus,Ly6K,Ly-6,Ly6K,Membrane,MKL,10
None|Oran9|Ornithorhynchus_anatinus,Ly6H,Ly-6,Ly6H,Membrane,MGN,12
None|Gaga_1|Gallus_gallus,PSCA,Ly-6,PSCA,Membrane,MKV,10
None|Gaga_2|Gallus_gallus,SLURP1,Ly-6,SLURP1,Membrane,MKM,10
None|Gaga_3|Gallus_gallus,LYPD2,Ly-6,LYPD2,Membrane,MKL,11
None|Gaga_4|Gallus_gallus,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10
None|Gaga_5|Gallus_gallus,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Membrane,MKT,11
None|Gaga_6|Gallus_gallus,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,11
None|Gaga_7|Gallus_gallus,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,11
None|Gaga_8|Gallus_gallus,Ly6E,Ly-6,Ly6E,Secreted,MKA,11
None|Alsi_1|Alligator_sinensis,PSCA,Ly-6,PSCA,Membrane,MKV,11
None|Alsi_10|Alligator_sinensis,Reptilian Ly6 group 6,Ly-6,Reptilian Ly6 group 6,Membrane,MKP,10
None|Alsi_2|Alligator_sinensis,SLURP1,Ly-6,SLURP1,Membrane,MKA,11
None|Alsi_3|Alligator_sinensis,LYPD2,Ly-6,LYPD2,Membrane,MRD,11
None|Alsi_4|Alligator_sinensis,Ly6H,Ly-6,Ly6H,Membrane,MKA,12
None|Alsi_5|Alligator_sinensis,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10
None|Alsi_6|Alligator_sinensis,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Membrane,MKT,10
None|Alsi_7|Alligator_sinensis,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKL,10
None|Alsi_8|Alligator_sinensis,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MMK,11
None|Alsi_9|Alligator_sinensis,Ly6E,Ly-6,Ly6E,Secreted,MRT,10
None|Chmy_1|Chelonia_mydas,PSCA,Ly-6,PSCA,Membrane,,11
None|Chmy_10|Chelonia_mydas,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,10
None|Chmy_11|Chelonia_mydas,Reptilian Ly6 group 2,Ly-6,Reptilian Ly6 group 2,Membrane,MKA,10
None|Chmy_12|Chelonia_mydas,Ly6E,Ly-6,Ly6E,Secreted,MKI,10
None|Chmy_13|Chelonia_mydas,Reptilian Ly6 group 6,Ly-6,Reptilian Ly6 group 6,Membrane,,11
None|Chmy_2|Chelonia_mydas,SLURP1,Ly-6,SLURP1,Membrane,MKV,10
None|Chmy_3|Chelonia_mydas,LYPD2,Ly-6,LYPD2,Membrane,MKG,11
None|Chmy_4|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,,10
None|Chmy_5|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10
None|Chmy_6|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MLQ,9
None|Chmy_7|Chelonia_mydas,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MLS,10
None|Chmy_9|Chelonia_mydas,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Membrane,MKA,10
None|Povi_1|Pogona_vitticeps,PSCA,Ly-6,PSCA,Membrane,MTP,11
None|Povi_10|Pogona_vitticeps,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Secreted,MKT,9
None|Povi_11|Pogona_vitticeps,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Membrane,MKT,10
None|Povi_12|Pogona_vitticeps,Reptilian Ly6 group 6,Ly-6,Reptilian Ly6 group 6,Membrane,MKV,10
None|Povi_3|Pogona_vitticeps,LYPD2,Ly-6,LYPD2,Membrane,MVE,12
None|Povi_5|Pogona_vitticeps,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,,10
None|Povi_6|Pogona_vitticeps,Reptilian Ly6 group 1-2,Ly-6,Reptilian Ly6 group 1-2,Membrane,MKA,10
None|Povi_7|Pogona_vitticeps,Ly6 unique,Ly-6,Ly6 unique,Membrane,MKA,10
None|Povi_8|Pogona_vitticeps,Reptilian Ly6 group 7,Ly-6,Reptilian Ly6 group 7,Membrane,,10
None|Povi_9|Pogona_vitticeps,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Secreted,MKT,11
None|Povi_4|Pogona_vitticeps,Reptilian Ly6 group 5,Ly-6,Reptilian Ly6 group 5,Membrane,MMA,10
None|Anca_1|Anolis_carolinensis,PSCA,Ly-6,PSCA,Membrane,MKV,10
None|Anca_10|Anolis_carolinensis,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Membrane,MKT,10
None|Anca_2|Anolis_carolinensis,SLURP1,Ly-6,SLURP1,Membrane,MNV,10
None|Anca_3|Anolis_carolinensis,LYPD2,Ly-6,LYPD2,Membrane,MEK,10
None|Anca_5|Anolis_carolinensis,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10
None|Anca_6|Anolis_carolinensis,Reptilian Ly6 group 1-2,Ly-6,Reptilian Ly6 group 1-2,Membrane,MKA,10
None|Anca_7|Anolis_carolinensis,Reptilian Ly6 group 7,Ly-6,Reptilian Ly6 group 7,Membrane,MKS,11
None|Anca_8|Anolis_carolinensis,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Secreted,MKA,10
None|Anca_9|Anolis_carolinensis,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Secreted,MMK,10
None|Anca_4|Anolis_carolinensis,Reptilian Ly6 group 5,Ly-6,Reptilian Ly6 group 5,Membrane,MAT,10
None|Vako_dn2|Varanus_komodoensis,SLURP1,Ly-6,SLURP1,Secreted,,6
None|Vako_dn3|Varanus_komodoensis,LYPD2,Ly-6,LYPD2,Membrane,,10
None|Vako_dn8|Varanus_komodoensis,Reptilian Ly6 group 3,Ly-6,Reptilian Ly6 group 3,Secreted,,10
None|Vako1|Varanus_komodoensis,PSCA,Ly-6,PSCA,Membrane,MKV,11
None|Vako10|Varanus_komodoensis,Ly6E,Ly-6,Ly6E,Secreted,MRP,10
None|Vako5|Varanus_komodoensis,Reptilian Ly6 group 1,Ly-6,Reptilian Ly6 group 1,Membrane,MKA,10
None|Vako6|Varanus_komodoensis,Reptilian Ly6 group 1-2,Ly-6,Reptilian Ly6 group 1-2,Membrane,MKS,11
None|Vako7|Varanus_komodoensis,Reptilian Ly6 group 7,Ly-6,Reptilian Ly6 group 7,Membrane,MKA,10
None|Vako9|Varanus_komodoensis,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Membrane,MKT,10
None|Vako_dn4|Varanus_komodoensis,Reptilian Ly6 group 5,Ly-6,Reptilian Ly6 group 5,Membrane,MAA,11
TR|M9T1L2|Aspidites_melanocephalus,Non-standard,Non-standard,,Secreted,MKA,11
TR|M9T271|Aspidites_melanocephalus,Non-standard,Non-standard,,Secreted,MKA,11
NCBI|Pbiv_NW_006541926_1_gene_1_mRNA_1|Python_bivittatus,Non-standard,Non-standard,,Secreted,,12
NCBI|Pbiv_NW_006543148_1_gene_1_mRNA_1|Python_bivittatus,Non-standard,Non-standard,,Secreted,,11
None|Pybi_1|Python_bivittatus,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Membrane,MGI,10
None|Pybi_2|Python_bivittatus,SLURP1,Ly-6,SLURP1,Membrane,,10
None|Pybi_3|Python_bivittatus,PSCA,Ly-6,PSCA,Membrane,MKA,12
TR|A0A098LY61|Python_regius,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9
TR|A0A098LWQ5|Python_regius,Non-standard,Non-standard,,Secreted,MKA,11
TR|A0A098LY55|Python_regius,Plesiotypic,Plesiotypic,,Secreted,MKT,10
TR|A0A098LY67|Python_regius,Plesiotypic,Plesiotypic,,Secreted,MRK,10
TR|M9SZR1|Cylindrophis_ruffus,Non-standard,Non-standard,,Secreted,MKA,11
TR|M9T2J4|Azemiops_feae,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,MKT,10
NCBI|BOTJA_GEXA01000001.1_15_275|Bothrops_jararaca,Non-standard,Non-standard,,Secreted,,10
SP|P84716|Causus_rhombeatus,Short-chain,Short-chain,,Secreted,,8
TR|A0A1W7RBC9|Crotalus_adamanteus,Plesiotypic,Plesiotypic,,Secreted,MKT,10
TR|A0A1W7RBD9|Crotalus_adamanteus,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|CROCE_GGMJ01000004.1_1_267|Crotalus_cerastes,Non-standard,Non-standard,,Secreted,,10
NCBI|CROCE_GGMJ01000005.1_1_252|Crotalus_cerastes,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|CROSC_GGIP01000025.1_1_252|Crotalus_scutulatus,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|CROTI_XM_039332036.1_300_557|Crotalus_tigris,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|CROTI_XM_039332037.1_103_360|Crotalus_tigris,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|CROTI_XM_039332038.1_21_260|Crotalus_tigris,Plesiotypic,Plesiotypic,,Secreted,MKA,10
NCBI|CROTI_XR_005555302.1_67_312|Crotalus_tigris,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|CROTI_XR_005555304.1_268_468|Crotalus_tigris,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|CROTI_XR_005555300.1_149_355|Crotalus_tigris,Non-standard,Non-standard,Basal viper genomic 8-cysteine,Secreted,,8
NCBI|CROTI_XR_005557461.1_417_620|Crotalus_tigris,Non-standard,Non-standard,Basal viper genomic 8-cysteine,Secreted,,8
NCBI|CROTI_XR_005557464.1_96_332|Crotalus_tigris,Non-standard,Non-standard,Basal viper genomic 8-cysteine,Secreted,,8
None|Cvir_PDHV02000066_1_88429_90401|Crotalus_viridis,Non-standard,Non-standard,,Secreted,MKT,11
None|Cvir_PDHV02000188_1_35190_37247_mka|Crotalus_viridis,Non-standard,Non-standard,Basal genomic 8-cysteines,Secreted,MKA,8
None|Dacu_scaffold1201_gene_1_mRNA_1_mka|Deinagkistrodon_acutus,Plesiotypic,Plesiotypic,,Secreted,MKA,10
None|Dacu_scaffold1201_gene_1_mRNA_2_mka|Deinagkistrodon_acutus,Plesiotypic,Plesiotypic,,Secreted,MKA,10
None|Dacu_scaffold1201_gene_1_mRNA_3_mka|Deinagkistrodon_acutus,Plesiotypic,Plesiotypic,,Secreted,MKA,10
None|Dacu_scaffold1201_gene_1_mRNA_4_mka|Deinagkistrodon_acutus,Plesiotypic,Plesiotypic,,Secreted,MKA,10
None|Dacu_scaffold1201_gene_1_mRNA_5_mka|Deinagkistrodon_acutus,Plesiotypic,Plesiotypic,,Secreted,MKA,10
None|Dacu_scaffold1201_gene_1_mRNA_6|Deinagkistrodon_acutus,Ly6H,Ly-6,Ly6H,Secreted,MKA,10
None|Dacu_scaffold2000_gene_1_mRNA_1|Deinagkistrodon_acutus,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|GLOIN_GHUB01014925.1_176_436|Gloydius_intermedius,Non-standard,Non-standard,,Secreted,,11
NCBI|GLOIN_GHUB01014927.1_176_415|Gloydius_intermedius,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|GLOIN_GHUB01072089.1_C300_49|Gloydius_intermedius,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|GLOIN_GHUB01143089.1_C464_201|Gloydius_intermedius,Plesiotypic,Plesiotypic,,Secreted,,10
TR|U3T794|Protobothrops_flavoviridis,Non-standard,Non-standard,,Secreted,MKT,10
None|Prmu_3|Protobothrops_mucrosquamatus,Non-standard,Non-standard,,Secreted,,8
None|Prmu_6|Protobothrops_mucrosquamatus,Ly6E,Ly-6,Ly6E,Secreted,MKA,9
NCBI|PROMU_XM_015823117.1_32_274|Protobothrops_mucrosquamatus,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|Protobothrops_mucrosquamatus_XP_015678608|Protobothrops_mucrosquamatus,Non-standard,Non-standard,,Secreted,MKT,11
None|Prmu_2|Protobothrops_mucrosquamatus,Plesiotypic,Plesiotypic,,Secreted,MKT,10
None|Prmu_4|Protobothrops_mucrosquamatus,Plesiotypic,Plesiotypic,,Secreted,MKT,10
None|Prmu_5|Protobothrops_mucrosquamatus,Reptilian Ly6 group 4,Ly-6,Reptilian Ly6 group 4,Membrane,,10
None|Prmu_7|Protobothrops_mucrosquamatus,SLURP1,Ly-6,SLURP1,Membrane,,10
None|Pseudocerastes_urarachnoides_3FTx_05|Pseudocerastes_urarachnoides,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,MKT,9
None|Pseudocerastes_urarachnoides_3FTx_06|Pseudocerastes_urarachnoides,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,,9
TR|A5X2W6|Sistrurus_catenatus_edwardsii,Non-standard,Non-standard,,Secreted,MKT,10
SP|A5X2W8|Sistrurus_catenatus_edwardsii,Plesiotypic,Plesiotypic,,Secreted,MKT,10
TR|A5X2W7|Sistrurus_catenatus_edwardsii,Plesiotypic,Plesiotypic,,Secreted,MKT,10
TR|A5X2W9|Sistrurus_catenatus_edwardsii,Plesiotypic,Plesiotypic,,Secreted,MKT,10
TR|A5X2X0|Sistrurus_catenatus_edwardsii,Plesiotypic,Plesiotypic,,Secreted,MKT,10
TR|B4Y143|Sistrurus_catenatus_edwardsii,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|VIPTR_OL439441.1_1_264|Vipera_transcaucasiana,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,MKT,9
None|Vipera_transcaucasiana_3FTx_08|Vipera_transcaucasiana,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,,9
None|Vipera_transcaucasiana_3FTx_09|Vipera_transcaucasiana,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,,9
None|Vipera_transcaucasiana_3FTx_10|Vipera_transcaucasiana,Non-standard,Non-standard,Viperid non-standard C #8 -> Y,Secreted,,9
NCBI|Atractaspis_aterrima_GAME01026808|Atractaspis_aterrima,Non-standard,Non-standard,,Secreted,,10
NCBI|ATRAT_GAME01039965.1_33_296|Atractaspis_aterrima,Non-standard,Non-standard,,Secreted,,12
NCBI|Atractaspis_aterrima_GAMF01005539|Atractaspis_aterrima,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|Atractaspis_aterrima_GAMF01040875|Atractaspis_aterrima,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|Atractaspis_aterrima_GAMF01050194|Atractaspis_aterrima,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|Atractaspis_aterrima_GAMF01055489|Atractaspis_aterrima,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|ATRAT_GAMF01005539.1_32_289|Atractaspis_aterrima,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|ATRAT_GAMF01035612.1_104_391|Atractaspis_aterrima,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|ATRAT_GAMF01040875.1_33_287|Atractaspis_aterrima,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|ATRAT_GAMF01047773.1_120_359|Atractaspis_aterrima,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|ATRAT_GAMF01050194.1_30_284|Atractaspis_aterrima,Plesiotypic,Plesiotypic,,Secreted,,10
SP|A7X3R6|Leioheterodon_madagascariensis,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|MALIN_GFTV01000051.1_C343_146|Malpolon_insignitus,Long-chain,Long-chain,,Secreted,,10
NCBI|MALMO_OL366269.1_1_252|Malpolon_monspessulanus,Non-standard,Non-standard,,Secreted,MKT,11
None|Malpolon_monspessulanus_unigene50403|Malpolon_monspessulanus,Non-standard,Non-standard,,Secreted,,11
SP|A7X3M3|Psammophis_mossambicus,Non-standard,Non-standard,,Secreted,MKT,9
NCBI|PSASC_OL366271.1_1_249|Psammophis_schokari,Non-standard,Non-standard,,Secreted,MLL,9
None|Psammophis_schokari_unigene276500|Psammophis_schokari,Non-standard,Non-standard,,Secreted,,9
NCBI|PSASC_OL366270.1_1_258|Psammophis_schokari,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|PSASC_OL366274.1_1_264|Psammophis_schokari,Plesiotypic,Plesiotypic,,Secreted,MKT,10
None|Psammophis_schokari_unigene221596|Psammophis_schokari,Plesiotypic,Plesiotypic,,Secreted,,10
None|Psammophis_schokari_unigene36962|Psammophis_schokari,Plesiotypic,Plesiotypic,,Secreted,,10
None|Psammophis_schokari_unigene503446|Psammophis_schokari,Plesiotypic,Plesiotypic,,Secreted,,10
NCBI|PSASU_OL439254.1_1_252|Psammophis_subtaeniatus,Non-standard,Non-standard,,Secreted,MKT,11
None|Psammophis_subtaeniatus_unigene107172|Psammophis_subtaeniatus,Non-standard,Non-standard,,Secreted,,11
None|Psammophis_subtaeniatus_unigene33896|Psammophis_subtaeniatus,Plesiotypic,Plesiotypic,,Secreted,,10
TR|A0A193CHL3|Ahaetulla_prasina,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,MKT,8
TR|A0A346CLY6|Ahaetulla_prasina,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,,9
TR|A0A346CLY7|Ahaetulla_prasina,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y,Secreted,,9
TR|A0A193CHL5|Ahaetulla_prasina,Plesiotypic,Plesiotypic,,Secreted,MKT,10
TR|A0A346CLY8|Ahaetulla_prasina,Non-standard,Non-standard,,Secreted,,11
TR|A0A346CLZ0|Ahaetulla_prasina,Non-standard,Non-standard,,Secreted,,11
TR|A0A346CLZ1|Ahaetulla_prasina,Plesiotypic,Plesiotypic,,Secreted,,10
TR|A0A346CM15|Ahaetulla_prasina,Non-standard,Non-standard,,Secreted,,11
TR|A0A346CM25|Ahaetulla_prasina,Non-standard,Non-standard,,Secreted,,11
TR|A0A481MQM5|Boiga_cynodon,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9
TR|A0A193CHL1|Boiga_cynodon,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|Boiga_dendrophila_dendrophila_GGUB01000001|Boiga_dendrophila_dendrophila,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9
TR|A0A481MQP4|Boiga_dendrophila,Non-standard,Non-standard,Colubrid non-standard C #8 -> Y/L,Secreted,MKT,9
SP|Q06ZW0|Boiga_dendrophila,Plesiotypic,Plesiotypic,,Secreted,MKT,10
TR|A0A481MQJ6|Boiga_dendrophila,Plesiotypic,Plesiotypic,,Secreted,MKT,10
TR|A0A481MQK7|Boiga_dendrophila,Plesiotypic,Plesiotypic,,Secreted,MKT,10
TR|A0A481MQL7|Boiga_dendrophila,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|Boiga_dendrophila_dendrophila_GGUB01000002|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|Boiga_dendrophila_dendrophila_GGUB01000005|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|Boiga_dendrophila_dendrophila_GGUB01000024|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|Boiga_dendrophila_dendrophila_GGUB01000025|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,MKT,10
NCBI|Boiga_dendrophila_dendrophila_GGUB01000027|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,MKI,10
None|1217Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1221Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1231Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1233Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1237Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1283Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1305Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11
None|1307Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1311Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11
None|1313Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11
None|1315Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11
None|1319Boiga_|Boiga_dendrophila_dendrophila,Non-standard,Non-standard,,Secreted,,12
None|1321Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11
None|1323Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1325Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1327Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1329Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1383Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11
None|1387Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1389Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1391Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1393Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,,Secreted,,10
None|1399Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11
None|1401Boiga_|Boiga_dendrophila_dendrophila,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11
None|1223Boiga_|Boiga_dendrophila_gemmicincta,Plesiotypic,Plesiotypic,,Secreted,,10
None|1225Boiga_|Boiga_dendrophila_gemmicincta,Plesiotypic,Plesiotypic,,Secreted,,10
None|1227Boiga_|Boiga_dendrophila_gemmicincta,Plesiotypic,Plesiotypic,,Secreted,,10
None|1309Boiga_|Boiga_dendrophila_gemmicincta,Non-standard,Non-standard,,Secreted,,12
None|1317Boiga_|Boiga_dendrophila_gemmicincta,Plesiotypic,Plesiotypic,Dimeric,Secreted,,11
None|1385Boiga_|Boiga_dendrophila_gemmicincta,Plesiotypic,Plesiotypic,,Secreted,,10
